D:\0 ICPMS Data\User Data\Hakim, Fahmi\24_03_22_ap_ne_FIMI.b\24_03_22_a25.d
Intensity Vs Time,CPS
Acquired      : 22/03/2024 13:11:09 using Batch 24_03_22_ap_ne_FIMI.b
Time [Sec],Li7,B11,Na23,Mg24,Al27,Si29,P31,S34,Cl35,K39,Ca43,Ca44,Sc45,Ti49,V51,Mn55,Fe56,Fe57,Ni60,Cu63,Zn66,As75,Br81,Rb85,Sr88,Y89,Zr90,Nb93,Sb121,I127,Cs133,Ba137,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Dy163,Er166,Yb172,Hf178,Ta181,Pb208
2.7981,1000.03,0.00,17510.50,0.00,1500.08,12505.38,1500.08,1000.03,1750.11,37047.49,500.01,4000.56,0.00,0.00,0.00,2000.14,58118.11,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500.01,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.9781,2000.14,0.00,17009.91,0.00,500.01,12004.96,3000.31,750.02,750.02,33037.78,0.00,2500.22,0.00,0.00,0.00,2500.22,64143.84,1500.08,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.1582,1000.03,0.00,27525.95,500.01,500.01,11004.17,3500.42,500.01,750.02,37548.79,500.01,3000.31,0.00,0.00,0.00,2500.22,58620.16,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.3382,0.00,0.00,20514.42,0.00,0.00,10503.80,500.01,3500.42,1500.08,36546.22,1000.03,4000.56,0.00,0.00,0.00,1500.08,72684.65,500.01,0.00,0.00,0.00,0.00,1500.08,500.01,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.5182,500.01,0.00,13506.25,0.00,0.00,8502.49,3500.42,2250.17,750.02,35543.72,0.00,3000.31,0.00,0.00,0.00,3500.43,56612.08,1000.04,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.6983,1000.03,0.00,19012.38,0.00,500.01,7001.69,500.01,2250.17,1250.05,38551.43,0.00,3500.43,0.00,0.00,0.00,2000.14,59624.31,500.01,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.8783,0.00,0.00,26524.09,0.00,1000.03,10503.80,2000.14,1250.05,1250.05,41559.76,0.00,4500.70,500.01,0.00,0.00,1500.08,69669.66,0.00,0.00,0.00,0.00,500.01,250.00,0.00,0.00,0.00,0.00,0.00,0.00,500.01,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.0584,1000.03,0.00,17009.91,0.00,0.00,5501.04,2000.14,1000.03,500.01,37047.49,0.00,2500.22,0.00,0.00,0.00,1500.08,74192.38,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.2384,1000.03,500.01,18511.74,0.00,500.01,8502.49,4500.70,500.01,1000.03,29029.17,0.00,2500.22,0.00,0.00,0.00,4500.71,64143.84,0.00,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,2500.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.4185,500.01,0.00,20013.72,0.00,0.00,13005.82,2000.14,1750.11,1250.05,32035.52,0.00,5501.05,0.00,0.00,0.00,5501.06,57616.09,1500.08,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
