Ag;211
Al;67200
As;328
Au;0
B;296
Ba;393
Be;456
Bi;296
Ca;47800
Cd;266
Ce;411
Co;394
Cr;370
Cs;335
Cu;332
Dy;406
Er;396
Eu;382
Fe;75500
Ga;407
Gd;390
Ge;404
Hf;388
Ho;406
In;440
Ir;0
K;21100
La;384
Li;377
Lu;433
Mg;21500
Mn;484
Mo;388
Na;28800
Nb;438
Nd;411
Ni;401
P;1700
Pb;338
Pr;404
Pt;0
Rb;385
Re;0
Sb;416
Sc;397
Se;0
Si;246100
Sm;411
Sn;382
Sr;429
Ta;401
Tb;430
Th;380
Ti;15300
Tl;0
Tm;416
U;386
V;392
W;365
Y;434
Yb;438
Zn;401
Zr;425
