H;15.0
Li;468.0
Be;476.0
B;350.0
F;304.0
Mg;432.0
P;413.0
S;575.0
Cl;274.0
K;464.0
Sc;455.0
Ti;452.0
V;450.0
Cr;408.0
Mn;444.0
Fe;458.0
Co;410.0
Ni;458.7
Cu;441.0
Zn;460.0
Ga;433.0
Ge;447.0
As;325.0
Se;138.0
Br;93.0
Rb;425.7
Sr;515.5
Y;462.0
Zr;448.0
Nb;465.0
Mo;417.0
Rh;1.29
Pd;1.21
Ag;251.0
Cd;270.0
In;434.0
Sn;430.0
Sb;396.0
Te;302.0
Cs;366.0
Ba;452.0
La;440.0
Ce;453.0
Pr;448.0
Nd;430.0
Sm;453.0
Eu;447.0
Gd;449.0
Tb;437.0
Dy;437.0
Ho;449.0
Er;455.0
Tm;435.0
Yb;450.0
Lu;439.0
Hf;435.0
Ta;446.0
W;444.0
Re;49.9
Pt;3.12
Au;23.6
Tl;59.6
Pb;426.0
Bi;384.0
Th;457.2
U;461.5
