Li;1.69
Be;0.753
B;1.49
F;6.2
Mg;33.8
P;11.4
S;291.0
Cl;102.0
K;30.0
Sc;0.74
Ti;3.61
V;1.01
Cr;1.19
Mn;1.42
Fe;18.8
Co;0.79
Ni;1.1
Cu;1.37
Zn;2.79
Ga;1.31
Ge;0.942
As;0.74
Se;0.4
Rb;0.855
Sr;45.8
Y;0.79
Zr;0.848
Nb;0.824
Mo;0.8
Rh;1.54
Pd;2.05
Ag;0.42
Cd;0.56
In;0.79
Sn;1.68
Sb;0.79
Cs;0.664
Ba;3.2
La;0.72
Ce;0.813
Pr;0.768
Nd;0.752
Sm;0.754
Eu;0.77
Gd;0.763
Tb;0.739
Dy;0.746
Ho;0.749
Er;0.74
Tm;0.732
Yb;0.777
Lu;0.732
Hf;0.711
Ta;0.808
W;0.806
Re;0.17
Ir;0.002
Pt;2.36
Au;0.48
Tl;0.273
Pb;2.32
Bi;0.581
Th;0.748
U;0.823
