D:\0 ICPMS Data\User Data\Hakim, Fahmi\24_03_22_ap_ne_FIMI.b\24_03_22_a02.d
Intensity Vs Time,CPS
Acquired      : 22/03/2024 10:01:05 using Batch 24_03_22_ap_ne_FIMI.b
Time [Sec],Li7,B11,Na23,Mg24,Al27,Si29,P31,S34,Cl35,K39,Ca43,Ca44,Sc45,Ti49,V51,Mn55,Fe56,Fe57,Ni60,Cu63,Zn66,As75,Br81,Rb85,Sr88,Y89,Zr90,Nb93,Sb121,I127,Cs133,Ba137,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Dy163,Er166,Yb172,Hf178,Ta181,Pb208
0.2780,2500.21,500.01,14507.21,0.00,1000.03,14006.75,2500.22,2500.22,2500.22,55606.93,0.00,9503.14,0.00,0.00,0.00,2000.14,99848.12,5000.88,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1250.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.4580,1500.08,0.00,17009.91,0.00,500.01,20013.77,3500.42,2750.26,1250.05,57614.78,0.00,11504.60,500.01,0.00,500.01,2500.22,105387.74,4500.71,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,1500.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.6381,1500.08,0.00,23018.15,0.00,1000.03,19012.43,2000.14,2500.22,1000.03,52595.67,0.00,7501.96,0.00,0.00,0.00,4000.56,97834.24,4000.56,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.8181,1000.03,0.00,28527.87,0.00,0.00,16509.37,2000.14,3250.36,1000.03,57112.79,1000.03,7501.96,0.00,0.00,0.00,4000.56,96324.02,9002.84,0.00,0.00,0.00,500.01,1000.04,0.00,0.00,0.00,0.00,0.00,500.01,1500.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.9982,500.01,0.00,26023.19,0.00,0.00,22016.67,3000.31,2500.22,250.00,48581.64,1500.08,12005.01,0.00,0.00,0.00,2500.22,101862.28,4500.71,500.01,0.00,0.00,500.01,250.00,0.00,0.00,0.00,0.00,0.00,0.00,1250.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.1782,1500.08,0.00,26023.19,0.00,500.01,18011.16,5501.04,2500.22,1250.05,42061.21,0.00,13005.88,0.00,0.00,0.00,3000.32,91794.31,4500.71,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,1250.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.3583,1000.03,0.00,23018.15,0.00,0.00,17009.95,2000.14,1750.11,1000.03,67155.90,1500.08,7001.70,0.00,0.00,0.00,4500.71,83745.03,3500.43,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,1000.04,1250.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5383,0.00,0.00,24019.76,0.00,0.00,18511.79,2500.22,1750.11,750.02,54603.11,1500.08,11004.21,0.00,0.00,0.00,4500.71,105387.74,4000.56,0.00,0.00,0.00,0.00,1750.11,0.00,0.00,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.7184,1500.08,0.00,19513.04,0.00,0.00,17009.95,2500.22,1750.11,2250.17,55606.93,0.00,10003.48,500.01,0.00,0.00,1500.08,116473.43,7501.97,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,1750.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.8984,1000.03,0.00,23518.95,0.00,0.00,16008.82,2500.22,3000.31,1500.08,54603.11,0.00,11004.21,0.00,500.01,0.00,4500.71,114457.21,4000.56,0.00,0.00,0.00,0.00,1250.06,0.00,0.00,0.00,0.00,0.00,0.00,1250.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
