Intensity Vs Time, Counts Per Second
Time in Seconds ,Li7,Na23,Al27,K39,Ca43,Ti47,Fe57,Cu63,Zn66,P31,Cs133,La139,Ce140,Ta181,Au197,Pb208,Th232,Nb93,Pr141,Eu153,Tb159,Ho165,Er166,Tm169,Lu175,Rb85,Sr88,Y89,Mg24,Ba137,Hf178,Nd146,Zr90,Sm147,Gd157,Dy163,Yb172,Si29,S33,B11,V51,Se77,Mn55,Mo95,As75
0.,100.00035000123,1200.0504021169,200.0014000098,30031.533109765,200.0014000098,0.,100.00035000123,0.,0.,3300.3811940279,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,77006.994802028,5501.0589538486,0.,100.00035000123,0.,1100.0423516305,0.,0
0.729,0.,2100.1543613456,100.00035000123,30833.238230813,100.00035000123,0.,200.0014000098,0.,0.,2200.1694130448,0.,0.,0.,0.,0.,0.,0.,0.,0.,50.000087500153,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,86360.246603139,6301.3894563751,0.,0.,0.,1100.0423516305,0.,0
1.458,0.,600.01260026461,100.00035000123,34641.951403149,0.,100.00035000123,0.,0.,0.,4300.6472474107,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,50.000087500153,0.,0.,0.,0.,0.,89177.475715689,6901.6667525207,0.,100.00035000123,0.,2000.1400098007,0.,0
2.187,0.,800.02240062722,0.,32336.556477097,0.,0.,300.00315003308,0.,0.,2800.2744268938,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,100.00035000123,0.,0.,0.,0.,83442.98597516,7401.917096528,0.,0.,0.,1400.0686033616,100.00035000123,0
2.916,100.00035000123,1100.0423516305,100.00035000123,34641.951403149,100.00035000123,100.00035000123,200.0014000098,0.,0.,3400.4046481531,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,87869.407603713,7501.9692669326,0.,0.,0.,1200.0504021169,0.,0
3.645,0.,600.01260026461,400.0056000784,30733.022632819,100.00035000123,0.,100.00035000123,0.,0.,3500.4288025283,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,50.000087500153,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,78515.170825648,5901.2186016412,0.,0.,0.,1000.035001225,0.,0
4.374,0.,1000.035001225,100.00035000123,33539.324858396,200.0014000098,100.00035000123,100.00035000123,20.00001400001,0.,2800.2744268938,0.,50.000087500153,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,100.00035000123,0.,0.,0.,0.,87265.724129976,6401.4339211983,0.,0.,0.,1700.1011560188,0.,0
5.103,0.,900.02835089305,300.00315003308,34240.986460794,200.0014000098,0.,300.00315003308,0.,0.,2900.2943798796,0.,0.,0.,0.,0.,0.,0.,50.000087500153,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,82537.749988843,5701.1373769067,0.,100.00035000123,0.,1400.0686033616,0.,100.0003500012
5.832,0.,300.00315003308,200.0014000098,33639.560122704,0.,0.,200.0014000098,0.,0.,4800.806535498,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,100.00035000123,0.,0.,0.,78816.825085811,7001.715420278,0.,100.00035000123,0.,1500.0787541346,0.,0
6.561,100.00035000123,800.02240062722,100.00035000123,32336.556477097,300.00315003308,0.,300.00315003308,0.,20.00001400001,3500.4288025283,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,78917.377917474,6301.3894563751,0.,0.,0.,1200.0504021169,0.,0
