C:\Agilent\ICPMH\1\DATA\User Batches\Tobias_F\Orogenic Gold\PAM_FI_16apr18.b\16apr18_a01.d
Intensity Vs Time,CPS
Acquired      : 18/04/2016 12:57:54 using Batch PAM_FI_16apr18.b
Time [Sec],Li7,B11,Na23,Mg24,Si29,S32,Cl35,K39,Ca44,Ti49,Mn55,Fe57,Cu63,Zn66,As75,Br81,Rb85,Sr88,Ag107,Sb121,Cs133,Ba137,W182,Au197,Pb208
0.3622,0.00,0.00,7001.62,0.00,8202.23,138837.17,3950.52,17009.65,2200.16,0.00,1800.11,0.00,0.00,0.00,0.00,3500.42,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
0.6592,0.00,0.00,5400.96,0.00,8802.57,142319.47,3600.43,17209.88,5000.84,0.00,1800.11,0.00,0.00,0.00,0.00,2900.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00
0.9562,0.00,200.00,5400.96,0.00,6001.19,147771.61,3250.35,14406.92,2400.19,0.00,1200.05,400.01,0.00,0.00,0.00,3050.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00
1.2533,0.00,0.00,4900.79,0.00,7001.62,138181.19,3250.35,17209.88,1800.11,0.00,3000.30,200.00,0.00,0.00,0.00,3400.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5503,0.00,200.00,5000.83,0.00,6601.44,141209.08,2700.24,14607.12,2000.13,0.00,2000.14,0.00,0.00,0.00,200.00,3850.51,0.00,0.00,0.00,200.00,200.00,0.00,0.00,0.00,0.00
1.8473,0.00,200.00,5501.00,0.00,7401.82,139039.03,3150.33,14206.73,3400.39,0.00,1600.09,400.01,0.00,0.00,200.00,3650.46,0.00,0.00,50.00,400.01,0.00,0.00,0.00,16.67,0.00
2.1444,0.00,200.00,4600.70,0.00,7601.91,141410.96,3450.40,15608.13,4200.59,0.00,2600.23,0.00,0.00,0.00,0.00,3050.32,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
2.4414,0.00,0.00,4000.53,0.00,7601.91,143328.98,3650.44,15207.71,3200.34,0.00,400.01,600.01,0.00,0.00,400.01,3250.36,0.00,0.00,0.00,800.02,0.00,0.00,0.00,0.00,0.00
2.7384,0.00,0.00,6101.23,0.00,7802.02,139644.59,3100.32,14206.73,3800.48,0.00,2400.19,400.01,400.01,200.00,0.00,3300.37,0.00,0.00,0.00,200.00,0.00,0.00,200.00,16.67,0.00
3.0354,0.00,0.00,4300.61,0.00,6201.27,141511.91,3150.33,12204.97,3400.39,0.00,1000.03,0.00,0.00,0.00,0.00,2950.30,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
3.3324,0.00,400.01,5200.89,0.00,5200.90,140048.32,3500.41,12004.81,2600.23,0.00,1200.05,200.00,0.00,0.00,200.00,3000.31,0.00,0.00,100.00,200.00,0.00,0.00,0.00,0.00,0.00
3.6295,0.00,0.00,4300.61,0.00,7001.62,138685.79,3000.30,16008.55,2200.16,0.00,1200.05,400.01,0.00,0.00,200.00,3500.42,0.00,0.00,0.00,200.00,200.00,0.00,0.00,0.00,0.00
3.9265,0.00,0.00,5200.89,0.00,5200.90,140401.59,3450.40,12605.30,4000.54,0.00,4000.54,0.00,0.00,0.00,600.01,3200.35,0.00,0.00,0.00,400.01,0.00,0.00,0.00,0.00,0.00
4.2235,0.00,0.00,6001.19,0.00,4800.76,146256.92,3150.33,15407.92,1400.07,0.00,2200.16,0.00,0.00,0.00,0.00,3050.32,0.00,0.00,50.00,600.01,0.00,0.00,0.00,0.00,0.00
4.5205,0.00,0.00,4600.70,0.00,6201.27,143682.32,2700.24,15808.34,3000.30,0.00,2600.23,200.00,0.00,0.00,200.00,2600.23,0.00,0.00,0.00,600.01,0.00,0.00,0.00,0.00,0.00
4.8176,0.00,0.00,5801.11,0.00,5000.83,142016.63,3350.37,11404.34,2200.16,0.00,1600.09,0.00,0.00,0.00,0.00,3000.31,0.00,0.00,50.00,0.00,0.00,0.00,0.00,16.67,0.00
5.1146,0.00,0.00,4700.73,0.00,6801.53,144389.04,3850.49,13806.36,3000.30,0.00,3600.44,0.00,0.00,0.00,0.00,2700.25,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
5.4116,0.00,0.00,5100.86,0.00,6801.53,144489.99,2950.29,16809.42,2400.19,0.00,600.01,200.00,0.00,200.00,600.01,2850.28,0.00,0.00,100.00,400.01,0.00,0.00,0.00,0.00,0.00
5.7086,0.00,0.00,6101.23,0.00,5601.04,148579.50,3550.42,13205.82,1200.05,0.00,1200.05,200.00,0.00,0.00,0.00,3300.37,0.00,0.00,100.00,400.01,0.00,0.00,0.00,0.00,0.00
6.0057,0.00,0.00,4700.73,0.00,6001.19,142975.65,3550.42,13606.18,2600.23,0.00,3000.30,0.00,0.00,0.00,0.00,3100.33,0.00,0.00,0.00,400.01,0.00,0.00,0.00,16.67,0.00
6.3027,0.00,0.00,5100.86,0.00,7001.62,140048.32,3450.40,13205.82,4000.54,0.00,1000.03,200.00,0.00,0.00,200.00,3200.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.5997,0.00,0.00,5000.83,0.00,6001.19,138736.25,3050.31,15808.34,3400.39,0.00,2400.19,400.01,0.00,0.00,200.00,3350.39,0.00,0.00,0.00,400.01,0.00,0.00,0.00,0.00,0.00
6.8967,0.00,0.00,4000.53,0.00,9603.05,142117.58,3450.40,15407.92,2000.13,0.00,1000.03,200.00,0.00,0.00,200.00,3550.43,0.00,0.00,0.00,400.01,0.00,0.00,0.00,0.00,0.00
7.1938,0.00,200.00,5300.93,0.00,6001.19,139039.03,3300.36,13005.64,3000.30,0.00,2200.16,400.01,0.00,0.00,400.01,3350.39,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,200.00
7.4908,0.00,0.00,6001.19,0.00,7401.82,143985.19,3550.42,12204.97,3600.43,0.00,2200.16,200.00,0.00,0.00,0.00,3500.42,0.00,0.00,0.00,400.01,0.00,0.00,0.00,0.00,0.00
7.7878,0.00,0.00,5200.89,0.00,6201.27,141764.27,3200.34,11804.65,4400.65,0.00,2200.16,0.00,0.00,0.00,200.00,3400.40,0.00,0.00,50.00,200.00,0.00,0.00,0.00,33.33,0.00
