C:\Agilent\ICPMH\1\DATA\User Batches\Tobias_F\Orogenic Gold\PAM_FI_16apr18.b\16apr18_a22.d
Intensity Vs Time,CPS
Acquired      : 18/04/2016 17:44:35 using Batch PAM_FI_16apr18.b
Time [Sec],Li7,B11,Na23,Mg24,Si29,S32,Cl35,K39,Ca44,Ti49,Mn55,Fe57,Cu63,Zn66,As75,Br81,Rb85,Sr88,Ag107,Sb121,Cs133,Ba137,W182,Au197,Pb208
0.3622,0.00,0.00,4600.70,0.00,6001.19,112921.88,4350.63,15608.13,2000.13,0.00,2200.16,200.00,0.00,0.00,0.00,2350.19,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
0.6592,0.00,200.00,6201.27,0.00,6801.53,111914.39,2750.25,13606.18,2200.16,0.00,2600.23,200.00,0.00,0.00,200.00,3150.34,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
0.9562,0.00,0.00,5200.89,0.00,5000.83,105216.36,3350.37,14807.31,800.02,0.00,2200.16,0.00,0.00,0.00,200.00,2350.19,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
1.2532,0.00,0.00,5701.07,0.00,5000.83,113526.39,3550.42,13606.18,1800.11,0.00,1600.09,0.00,0.00,0.00,0.00,2550.22,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5503,0.00,0.00,6601.44,0.00,5801.12,107834.78,4150.57,10203.47,1200.05,0.00,2000.14,0.00,0.00,0.00,200.00,2600.23,0.00,0.00,0.00,400.01,0.00,0.00,0.00,16.67,0.00
1.8473,0.00,0.00,6701.48,0.00,7401.82,107532.63,4100.56,14006.54,1200.05,0.00,1000.03,200.00,0.00,0.00,0.00,3200.35,0.00,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00
2.1443,0.00,0.00,7902.06,0.00,3600.43,110957.35,3150.33,11404.34,1200.05,0.00,2000.14,0.00,0.00,0.00,200.00,2700.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.4413,0.00,200.00,5801.11,0.00,4400.64,113123.38,2900.28,12204.97,2800.26,0.00,2200.16,0.00,0.00,0.00,200.00,2300.18,0.00,0.00,0.00,400.01,0.00,0.00,0.00,0.00,0.00
2.7384,0.00,0.00,5100.86,0.00,6801.53,104712.87,3650.44,12405.13,1000.03,0.00,1600.09,200.00,0.00,0.00,200.00,2650.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.0354,0.00,0.00,4900.79,0.00,5400.97,113425.63,4100.56,12605.30,1800.11,0.00,2000.14,400.01,0.00,0.00,200.00,2650.24,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
3.3324,0.00,0.00,5000.83,0.00,4800.76,102749.40,3900.51,13005.64,1600.09,0.00,1600.09,400.01,0.00,0.00,0.00,2850.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.6294,200.00,0.00,6101.23,0.00,5801.12,105770.21,3350.37,12405.13,1400.07,0.00,3200.35,400.01,0.00,0.00,0.00,2750.26,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.9265,0.00,0.00,4000.53,0.00,6601.44,109496.72,3350.37,14406.92,1800.11,0.00,2000.14,0.00,0.00,0.00,200.00,2650.24,0.00,0.00,0.00,200.00,0.00,0.00,0.00,16.67,0.00
4.2235,0.00,0.00,5901.15,0.00,5200.90,108690.91,3600.43,11804.65,1600.09,0.00,2200.16,0.00,0.00,0.00,0.00,2600.23,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
4.5205,0.00,0.00,4300.61,0.00,6001.19,108791.63,3600.43,11804.65,1200.05,0.00,1000.03,0.00,0.00,0.00,0.00,3600.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.8175,0.00,0.00,5701.07,0.00,3800.48,111461.05,3200.34,14807.31,2200.16,0.00,4400.65,400.01,0.00,0.00,200.00,3000.31,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
5.1146,0.00,0.00,4700.73,0.00,5801.12,110453.66,3650.44,11004.04,800.02,0.00,3200.35,200.00,0.00,0.00,0.00,3250.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.4116,0.00,0.00,5300.93,0.00,3600.43,111763.27,3600.43,12004.81,1800.11,0.00,4200.60,200.00,0.00,0.00,0.00,2700.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00
5.7086,0.00,0.00,4800.76,0.00,4400.64,111914.39,3050.31,12605.30,2000.13,0.00,2000.14,200.00,0.00,0.00,0.00,3300.37,0.00,0.00,50.00,400.01,0.00,0.00,0.00,0.00,0.00
