Intensity Vs Time, Counts Per Second
Time in Seconds ,Li7,Na23,Al27,K39,Ca43,Ti47,Fe57,Cu63,Zn66,P31,Cs133,La139,Ce140,Ta181,Au197,Pb208,Th232,Nb93,Pr141,Eu153,Tb159,Ho165,Er166,Tm169,Lu175,Rb85,Sr88,Y89,Mg24,Ba137,Hf178,Nd146,Zr90,Sm147,Gd157,Dy163,Yb172,Si29,S33,B11,V51,Se77,Mn55,Mo95,As75
0.,0.,400.0056000784,400.0056000784,36446.43275533,100.00035000123,0.,500.00875015313,0.,0.,3100.3363864979,0.,0.,50.000087500153,0.,0.,0.,0.,50.000087500153,0.,0.,0.,0.,0.,0.,0.,0.,50.000087500153,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,81129.718798779,5901.2186016412,0.,0.,0.,1400.0686033616,0.,0
0.729,0.,3300.3811940279,0.,33138.390825772,300.00315003308,0.,300.00315003308,20.00001400001,20.00001400001,2600.2366215326,0.,0.,0.,0.,0.,0.,0.,50.000087500153,0.,0.,0.,0.,0.,50.000087500153,0.,0.,50.000087500153,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,79017.931454953,6001.2602646556,0.,0.,0.,1400.0686033616,0.,0
1.458,0.,1400.0686033616,200.0014000098,36646.944736207,100.00035000123,0.,200.0014000098,0.,0.,3000.3150330785,0.,0.,50.000087500153,0.,0.,0.,100.00035000123,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,50.000087500153,100.00035000123,0.,0.,0.,0.,0.,0.,0.,0.,87366.336276138,7902.1849541398,0.,0.,0.,1300.0591526914,0.,0
2.187,0.,1600.0896050179,100.00035000123,33338.856437178,100.00035000123,0.,200.0014000098,0.,0.,3200.3584401453,0.,100.00035000123,0.,0.,0.,0.,0.,0.,0.,0.,50.000087500153,0.,0.,0.,0.,0.,0.,50.000087500153,0.,0.,0.,0.,0.,0.,0.,0.,0.,81632.571195336,6801.6187852709,100.00035000123,100.00035000123,0.,1100.0423516305,0.,0
2.916,100.00035000123,3100.3363864979,400.0056000784,31634.988297057,100.00035000123,200.0014000098,500.00875015313,40.000056000078,20.00001400001,4300.6472474107,0.,0.,50.000087500153,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,50.000087500153,150.00078750413,0.,0.,0.,100.00035000123,0.,0.,0.,0.,0.,0.,0.,85857.228255855,6801.6187852709,0.,0.,0.,1400.0686033616,0.,0
3.645,0.,900.02835089305,300.00315003308,31334.32675496,100.00035000123,0.,300.00315003308,20.00001400001,0.,3200.3584401453,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,50.000087500153,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,78213.522917565,6901.6667525207,0.,100.00035000123,0.,1900.1263584028,0.,0
4.374,0.,1300.0591526914,200.0014000098,34040.508204764,200.0014000098,0.,400.0056000784,0.,20.00001400001,4000.560078411,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,77308.617303794,5501.0589538486,0.,0.,0.,2000.1400098007,0.,0
5.103,0.,1000.035001225,200.0014000098,31133.889238436,100.00035000123,0.,200.0014000098,0.,20.00001400001,4800.806535498,100.00035000123,0.,0.,100.00035000123,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,72985.968247094,6901.6667525207,100.00035000123,0.,0.,1700.1011560188,0.,0
5.832,0.,1300.0591526914,300.00315003308,30031.533109765,300.00315003308,0.,200.0014000098,0.,0.,3700.479212058,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,100.00035000123,50.000087500153,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,77409.159549102,6401.4339211983,0.,0.,0.,800.02240062722,0.,0
6.561,0.,1100.0423516305,200.0014000098,29831.113851747,100.00035000123,0.,400.0056000784,40.000056000078,0.,4300.6472474107,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,50.000087500153,0.,0.,0.,0.,50.000087500153,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,88674.358465091,6501.4790864922,0.,100.00035000123,0.,1300.0591526914,0.,0
