Intensity Vs Time, Counts Per Second
Time in Seconds ,Li7,Na23,Al27,K39,Ca43,Ti47,Fe57,Cu63,Zn66,P31,Cs133,La139,Ce140,Ta181,Au197,Pb208,Th232,Nb93,Pr141,Eu153,Tb159,Ho165,Er166,Tm169,Lu175,Rb85,Sr88,Y89,Mg24,Ba137,Hf178,Nd146,Zr90,Sm147,Gd157,Dy163,Yb172,Si29,S33,B11,V51,Se77,Mn55,Mo95,As75
0.,0.,500.00875015313,100.00035000123,37549.283434508,200.0014000098,0.,300.00315003308,0.,20.00001400001,2700.255174114,100.00035000123,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,84348.279159707,6901.6667525207,0.,0.,0.,1000.035001225,0.,0
0.729,0.,200.0014000098,0.,38351.410065192,200.0014000098,0.,500.00875015313,0.,0.,3800.5054672271,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,87567.562687793,7201.8148573441,0.,0.,0.,800.02240062722,0.,100.0003500012
1.458,0.,600.01260026461,200.0014000098,36947.717977768,600.01260026461,0.,200.0014000098,0.,0.,3100.3363864979,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,86762.673995521,6701.5715185211,0.,0.,100.00035000123,1100.0423516305,0.,0
2.187,0.,0.,100.00035000123,40156.359450489,100.00035000123,0.,200.0014000098,20.00001400001,0.,3800.5054672271,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,82638.328940665,7401.917096528,100.00035000123,0.,0.,900.02835089305,0.,0
2.916,0.,400.0056000784,0.,35945.165099948,500.00875015313,0.,500.00875015313,0.,0.,3700.479212058,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,78012.427841011,5701.1373769067,0.,0.,0.,1600.0896050179,0.,0
3.645,0.,400.0056000784,100.00035000123,34641.951403149,200.0014000098,0.,600.01260026461,0.,0.,3300.3811940279,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,84247.688203318,6901.6667525207,0.,0.,0.,1000.035001225,0.,0
4.374,0.,700.01715042019,300.00315003308,39354.131608027,100.00035000123,0.,200.0014000098,0.,40.000056000078,1500.0787541346,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,100.00035000123,0.,0.,0.,0.,86662.06608785,5801.1776390607,0.,100.00035000123,0.,600.01260026461,0.,0
5.103,0.,100.00035000123,200.0014000098,39654.961777023,300.00315003308,0.,200.0014000098,0.,0.,3900.5324226757,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,78314.071514485,7201.8148573441,0.,0.,0.,800.02240062722,0.,0
5.832,0.,400.0056000784,200.0014000098,37047.977130384,100.00035000123,0.,300.00315003308,0.,0.,3300.3811940279,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,77107.534930265,7902.1849541398,0.,0.,0.,1500.0787541346,0.,0
6.561,0.,500.00875015313,0.,37950.341127506,100.00035000123,0.,100.00035000123,0.,20.00001400001,4000.560078411,0.,50.000087500153,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,50.000087500153,0.,0.,0.,0.,0.,91190.121371142,6401.4339211983,0.,0.,0.,1600.0896050179,0.,0
