C:\Agilent\ICPMH\1\DATA\User Batches\Tobias_F\Orogenic Gold\PAM_FI_16may17.b\16may17_a17.d
Intensity Vs Time,CPS
Acquired      : 17/05/2016 12:07:49 using Batch PAM_FI_16may17.b
Time [Sec],Li7,B11,Na23,Mg24,Si29,S32,Cl35,K39,Ca44,Ti49,Mn55,Fe57,Cu63,Zn66,As75,Br81,Rb85,Sr88,Ag107,Sb121,Cs133,Ba137,W182,Au197,Pb208
8.0848,0.00,0.00,7101.66,0.00,3200.34,110604.76,3550.42,11604.49,3200.34,0.00,2000.14,0.00,0.00,0.00,0.00,3500.42,0.00,0.00,50.00,200.00,0.00,0.00,0.00,0.00,0.00
8.3819,0.00,0.00,10203.43,0.00,4400.64,109899.63,3200.34,9603.08,1000.03,0.00,2200.16,200.00,0.00,0.00,200.00,2850.28,0.00,0.00,50.00,200.00,0.00,0.00,0.00,16.67,0.00
8.6789,0.00,0.00,8102.17,0.00,5801.12,99678.86,3750.47,13005.64,1200.05,0.00,2200.16,200.00,0.00,0.00,400.01,3150.34,0.00,0.00,50.00,0.00,200.00,0.00,0.00,0.00,0.00
8.9759,0.00,0.00,7802.01,0.00,5400.97,110856.60,3550.42,14406.92,2000.13,0.00,1400.07,200.00,0.00,0.00,0.00,2750.26,0.00,0.00,50.00,200.00,0.00,0.00,0.00,0.00,200.00
9.2729,0.00,0.00,9102.73,0.00,6801.53,105317.05,2650.23,12605.30,1800.11,0.00,1600.09,200.00,0.00,0.00,0.00,3450.41,0.00,0.00,100.00,200.00,0.00,0.00,0.00,0.00,0.00
9.5700,0.00,0.00,8102.17,0.00,5601.04,108539.82,3750.47,13205.82,2400.19,0.00,2400.19,200.00,0.00,0.00,0.00,2950.30,0.00,0.00,50.00,200.00,0.00,0.00,0.00,16.67,0.00
9.8670,0.00,0.00,7701.96,0.00,4600.70,108187.29,3750.47,11804.65,2600.23,0.00,1400.07,600.01,0.00,0.00,200.00,3500.42,0.00,0.00,50.00,200.00,0.00,0.00,0.00,0.00,0.00
10.1640,0.00,0.00,6801.53,0.00,4400.64,107129.77,3250.35,12805.47,1600.09,0.00,1800.11,0.00,0.00,0.00,200.00,3000.31,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
10.4610,0.00,0.00,9803.17,0.00,3800.48,113476.01,3000.30,14206.73,2000.13,0.00,2400.19,0.00,0.00,0.00,200.00,3100.33,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
10.7580,0.00,0.00,9402.92,0.00,3800.48,106475.16,2800.26,11204.19,1800.11,0.00,3600.44,200.00,0.00,0.00,0.00,3450.41,0.00,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00
11.0551,0.00,0.00,8202.22,0.00,4000.53,106021.97,3600.43,12204.97,3000.30,0.00,1800.11,400.01,0.00,0.00,400.01,2400.20,0.00,0.00,50.00,200.00,0.00,0.00,0.00,0.00,0.00
11.3521,0.00,0.00,8402.33,0.00,4200.58,106424.80,3600.43,10803.89,2000.13,0.00,3000.30,400.01,0.00,0.00,200.00,3800.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11.6491,0.00,0.00,9803.17,0.00,6001.19,106021.97,3400.38,10403.61,2800.26,0.00,2200.16,400.01,0.00,0.00,0.00,2950.30,0.00,0.00,100.00,0.00,0.00,0.00,0.00,16.67,0.00
11.9461,0.00,0.00,6501.39,0.00,4600.70,106424.80,3450.40,10403.61,2600.23,0.00,2000.14,400.01,0.00,0.00,0.00,3300.37,0.00,0.00,100.00,0.00,0.00,0.00,0.00,16.67,0.00
12.2432,0.00,0.00,9603.04,0.00,4200.58,106374.45,3600.43,11004.04,1200.05,0.00,3400.39,0.00,0.00,0.00,0.00,2300.18,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
12.5402,0.00,0.00,8102.17,0.00,2400.19,108439.10,3550.42,16008.55,3200.34,0.00,2800.26,0.00,0.00,0.00,0.00,2850.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12.8372,0.00,0.00,7701.96,0.00,4200.58,111914.39,4300.62,8602.47,2000.13,0.00,2600.23,200.00,0.00,0.00,400.01,2550.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13.1342,0.00,200.00,11003.99,0.00,6801.53,105719.86,4600.70,8602.47,1800.11,0.00,1800.11,600.01,0.00,0.00,0.00,2750.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00
13.4313,0.00,200.00,9803.17,0.00,5000.83,110101.10,3300.36,11604.49,2000.13,0.00,2000.14,0.00,0.00,0.00,0.00,3550.43,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
13.7283,0.00,0.00,8402.33,0.00,4200.58,107431.91,3500.41,10403.61,1800.11,0.00,2200.16,0.00,0.00,0.00,200.00,3450.41,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
14.0253,0.00,0.00,8602.44,0.00,4400.64,106575.87,4300.62,10403.61,2400.19,0.00,3800.49,400.01,0.00,0.00,0.00,2750.26,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
14.3223,0.00,0.00,9302.85,0.00,4800.76,110101.10,3800.48,9402.95,2800.26,0.00,2400.19,0.00,0.00,0.00,0.00,2950.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14.6194,0.00,0.00,7802.01,0.00,4400.64,108489.45,2950.29,12405.13,1800.11,0.00,1800.11,400.01,0.00,0.00,200.00,2800.27,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
14.9164,0.00,0.00,8402.33,0.00,3800.48,101641.93,3350.37,10003.34,1800.11,0.00,3200.35,0.00,0.00,0.00,200.00,3350.39,0.00,0.00,50.00,0.00,0.00,0.00,0.00,16.67,200.00
15.2134,0.00,0.00,8602.44,0.00,7401.82,110050.73,3350.37,11604.49,2000.13,0.00,400.01,0.00,0.00,0.00,0.00,3150.34,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
15.5104,0.00,0.00,10103.37,0.00,6801.53,111813.65,3500.41,11204.19,1000.03,0.00,1600.09,0.00,0.00,0.00,0.00,2800.27,0.00,0.00,0.00,400.01,0.00,0.00,0.00,50.00,0.00
15.8075,0.00,0.00,8402.33,0.00,5601.04,111511.41,3050.31,11204.19,2200.16,0.00,1800.11,0.00,0.00,0.00,0.00,3050.32,0.00,0.00,150.00,0.00,0.00,0.00,0.00,0.00,0.00
16.1045,0.00,0.00,8202.22,0.00,4600.70,110504.03,4700.74,12204.97,3600.43,0.00,3000.30,200.00,0.00,0.00,0.00,2700.25,0.00,0.00,0.00,400.01,0.00,0.00,0.00,0.00,0.00
16.4015,0.00,200.00,8402.33,0.00,3800.48,103806.62,3200.34,14206.73,2000.13,0.00,2200.16,400.01,0.00,0.00,0.00,2700.25,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
16.6985,0.00,0.00,7501.86,0.00,4000.53,106827.64,4450.66,12605.30,1600.09,0.00,1800.11,400.01,0.00,0.00,200.00,3350.39,0.00,0.00,0.00,400.01,0.00,0.00,0.00,0.00,0.00
16.9956,0.00,0.00,8702.50,0.00,5400.97,110101.10,3350.37,9603.08,2400.19,0.00,2600.23,0.00,0.00,0.00,400.01,2450.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17.2926,0.00,0.00,8402.33,0.00,5200.90,107280.85,4050.55,10403.61,1400.07,0.00,3000.30,200.00,0.00,0.00,0.00,2850.28,0.00,0.00,50.00,0.00,200.00,0.00,0.00,0.00,0.00
17.5896,0.00,0.00,7701.96,0.00,4800.76,106475.16,2600.23,11604.49,2600.23,0.00,1800.11,0.00,0.00,0.00,0.00,3350.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00
17.8867,0.00,0.00,8402.33,0.00,7001.62,107885.14,4050.55,16408.98,1000.03,0.00,2600.23,600.01,0.00,400.01,200.00,3200.35,0.00,0.00,150.00,200.00,0.00,0.00,0.00,0.00,0.00
18.1837,0.00,0.00,7501.86,0.00,4200.58,104159.05,2950.29,12605.30,800.02,0.00,3600.44,0.00,0.00,200.00,0.00,2550.22,0.00,0.00,150.00,0.00,0.00,0.00,0.00,0.00,0.00
18.4807,0.00,0.00,8202.22,0.00,4200.58,103152.14,3350.37,10203.47,1600.09,0.00,3400.39,0.00,0.00,0.00,0.00,3150.34,0.00,0.00,0.00,400.01,0.00,0.00,0.00,0.00,0.00
