C:\Agilent\ICPMH\1\DATA\User Batches\Tobias_F\Orogenic Gold\PAM_FI_16may17.b\16may17_a01.d
Intensity Vs Time,CPS
Acquired      : 17/05/2016 10:04:07 using Batch PAM_FI_16may17.b
Time [Sec],Li7,B11,Na23,Mg24,Si29,S32,Cl35,K39,Ca44,Ti49,Mn55,Fe57,Cu63,Zn66,As75,Br81,Rb85,Sr88,Ag107,Sb121,Cs133,Ba137,W182,Au197,Pb208
0.3621,0.00,0.00,10703.78,0.00,10003.31,217509.84,5501.01,20413.90,3400.39,0.00,2400.19,600.01,0.00,0.00,0.00,4050.56,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
0.6592,0.00,200.00,8802.56,0.00,7802.02,212590.31,5300.93,14607.12,4200.59,0.00,2800.26,800.02,0.00,200.00,200.00,4500.70,0.00,0.00,50.00,200.00,0.00,0.00,0.00,16.67,0.00
0.9562,0.00,0.00,11304.22,0.00,9402.93,218270.73,3650.44,15207.71,3600.43,0.00,3000.30,600.01,0.00,0.00,0.00,4300.63,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
1.2532,0.00,0.00,11204.14,0.00,8002.12,214872.39,4550.69,14807.31,2400.19,0.00,5400.98,400.01,0.00,0.00,200.00,4550.71,0.00,0.00,0.00,400.01,0.00,0.00,0.00,16.67,0.00
1.5502,0.00,0.00,10803.85,0.00,8402.34,205036.65,6551.43,20013.36,3400.39,0.00,1000.03,400.01,0.00,0.00,400.01,3700.47,0.00,0.00,50.00,200.00,0.00,0.00,0.00,16.67,0.00
1.8473,0.00,0.00,11304.22,0.00,7601.91,200475.83,4350.63,18211.06,3400.39,0.00,3600.44,400.01,400.01,0.00,200.00,3350.39,0.00,0.00,0.00,400.01,0.00,0.00,0.00,33.33,0.00
2.1443,0.00,200.00,12705.32,0.00,10003.31,211271.95,5050.85,24219.56,3600.43,0.00,3600.44,600.01,0.00,0.00,0.00,4400.66,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,16.67,0.00
2.4413,0.00,0.00,9803.17,0.00,9002.68,220908.79,4850.78,21415.29,3000.30,0.00,4000.54,600.01,0.00,0.00,0.00,3500.42,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
2.7383,0.00,0.00,11504.37,0.00,7601.91,213756.67,4800.77,18010.82,3800.48,0.00,3000.30,800.02,0.00,0.00,200.00,3300.37,0.00,0.00,50.00,400.01,0.00,0.00,0.00,0.00,0.00
3.0354,0.00,0.00,10803.85,0.00,10803.87,207368.24,5200.90,19012.05,2600.23,0.00,2400.19,200.00,0.00,0.00,400.01,4200.61,0.00,0.00,100.00,200.00,0.00,0.00,0.00,0.00,0.00
3.3324,0.00,200.00,10003.30,0.00,8802.57,213908.81,4550.69,19012.05,3000.30,0.00,2000.14,0.00,0.00,0.00,0.00,3250.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.6294,0.00,0.00,10103.37,0.00,8002.12,214568.09,5300.93,18811.80,2400.19,0.00,1600.09,600.01,0.00,0.00,200.00,3100.33,0.00,0.00,50.00,600.01,0.00,0.00,0.00,16.67,0.00
3.9264,0.00,0.00,10003.30,0.00,6601.44,212235.35,5050.85,20614.17,3000.30,0.00,3000.30,800.02,0.00,0.00,400.01,4600.73,0.00,0.00,50.00,200.00,0.00,0.00,0.00,16.67,0.00
4.2235,200.00,200.00,10203.43,0.00,6401.36,211271.95,5300.93,17810.58,2200.16,0.00,3600.44,400.01,0.00,0.00,200.00,3550.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00
4.5205,0.00,0.00,10803.85,0.00,7201.72,210359.33,4900.80,21615.58,2400.19,0.00,3000.30,400.01,0.00,0.00,200.00,4200.61,0.00,0.00,0.00,200.00,0.00,0.00,0.00,16.67,0.00
4.8175,0.00,0.00,10603.71,0.00,8402.34,217966.38,4500.67,21014.73,2600.23,0.00,3600.44,800.02,0.00,0.00,200.00,3600.45,0.00,0.00,50.00,400.01,0.00,0.00,0.00,0.00,0.00
5.1145,0.00,0.00,11504.37,0.00,8802.57,212539.60,4300.62,20013.36,3800.48,0.00,3400.39,600.01,0.00,0.00,400.01,3650.46,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
5.4116,0.00,0.00,9102.73,0.00,8802.57,208736.96,4900.80,19813.09,5000.84,0.00,2800.26,200.00,0.00,0.00,400.01,4100.58,0.00,0.00,50.00,200.00,0.00,0.00,0.00,16.67,0.00
5.7086,400.01,0.00,11404.29,0.00,10403.59,218828.76,4850.78,20013.36,3400.39,0.00,2600.23,600.01,0.00,0.00,600.01,3700.47,0.00,0.00,50.00,400.01,0.00,0.00,0.00,0.00,0.00
6.0056,0.00,0.00,10903.92,0.00,9002.68,205695.53,3850.49,19212.31,2200.16,0.00,2200.16,400.01,0.00,0.00,200.00,3800.50,0.00,0.00,100.00,200.00,0.00,0.00,0.00,16.67,0.00
6.3026,0.00,0.00,10503.64,0.00,7001.62,210612.82,4700.74,18611.55,4200.59,200.00,1800.11,400.01,0.00,0.00,0.00,3500.42,0.00,0.00,100.00,400.01,200.00,0.00,0.00,0.00,0.00
6.5997,0.00,200.00,8602.44,0.00,9803.18,207773.78,4750.75,16609.20,3000.30,200.00,3000.30,0.00,0.00,0.00,200.00,4150.59,0.00,0.00,150.00,200.00,0.00,0.00,0.00,16.67,0.00
6.8967,0.00,0.00,9803.17,0.00,9402.93,217662.01,5551.03,21415.29,4600.71,0.00,3600.44,0.00,0.00,200.00,200.00,3650.46,0.00,0.00,100.00,200.00,0.00,0.00,0.00,0.00,0.00
7.1937,0.00,0.00,10303.50,0.00,8002.12,201134.55,4650.72,20213.63,5200.91,0.00,2200.16,400.01,0.00,0.00,200.00,3350.39,0.00,0.00,50.00,400.01,0.00,0.00,0.00,0.00,0.00
7.4907,0.00,0.00,9402.92,0.00,9402.93,223293.58,5651.06,21014.73,3400.39,0.00,2400.19,400.01,0.00,0.00,0.00,3150.34,0.00,0.00,0.00,400.01,0.00,0.00,0.00,0.00,0.00
7.7878,0.00,0.00,10003.30,0.00,9402.93,210562.11,5450.99,21215.01,2000.13,0.00,3000.30,200.00,0.00,0.00,0.00,4200.61,0.00,0.00,100.00,0.00,0.00,0.00,0.00,16.67,0.00
8.0848,0.00,0.00,11003.99,0.00,7802.02,205087.33,5901.16,16408.98,3600.43,0.00,5400.98,400.01,0.00,0.00,0.00,3900.52,0.00,0.00,100.00,200.00,0.00,0.00,0.00,16.67,0.00
8.3818,0.00,0.00,11804.60,0.00,8002.12,213959.50,4250.60,17410.11,3600.43,0.00,3400.39,200.00,0.00,0.00,0.00,3850.51,0.00,0.00,0.00,600.01,0.00,0.00,0.00,0.00,0.00
8.6788,0.00,0.00,10803.85,0.00,6401.36,215379.54,4800.77,19012.05,2800.26,0.00,2200.16,1000.03,0.00,0.00,0.00,3400.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.9759,0.00,0.00,9903.24,0.00,10403.59,216038.89,4200.59,17410.11,3400.39,0.00,2400.19,200.00,0.00,0.00,0.00,3700.47,0.00,0.00,50.00,200.00,0.00,0.00,0.00,0.00,0.00
9.2729,200.00,0.00,11204.14,0.00,12605.26,210511.43,4450.66,19813.09,3400.39,0.00,3000.30,200.00,0.00,0.00,200.00,4000.55,0.00,0.00,150.00,400.01,0.00,0.00,0.00,0.00,0.00
9.5699,0.00,0.00,11504.37,0.00,7401.82,210612.82,4050.55,20614.17,6401.37,0.00,3400.39,600.01,0.00,0.00,0.00,3750.48,0.00,0.00,150.00,400.01,0.00,0.00,0.00,0.00,0.00
9.8669,0.00,0.00,9903.24,0.00,9202.81,218169.29,4950.82,17009.65,3200.34,0.00,2400.19,800.02,0.00,0.00,600.01,4100.58,400.01,0.00,50.00,400.01,0.00,0.00,0.00,16.67,0.00
10.1640,400.01,0.00,11704.52,0.00,8602.45,209142.53,4550.69,17810.58,2200.16,0.00,4200.60,1000.03,0.00,0.00,400.01,3850.51,0.00,0.00,100.00,400.01,0.00,0.00,0.00,0.00,0.00
10.4610,0.00,0.00,13405.93,0.00,12204.93,217002.61,4150.57,19412.57,5000.84,0.00,3000.30,1000.03,0.00,0.00,400.01,3600.45,0.00,0.00,50.00,0.00,200.00,0.00,0.00,16.67,0.00
10.7580,0.00,0.00,12705.32,0.00,8402.34,217256.23,4200.59,21815.87,2800.26,0.00,4800.78,200.00,0.00,0.00,200.00,3850.51,0.00,0.00,50.00,600.01,0.00,0.00,0.00,16.67,0.00
11.0550,0.00,200.00,10703.78,0.00,5801.12,208382.10,4350.63,19412.57,3200.34,0.00,2400.19,1000.03,0.00,0.00,0.00,4350.65,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
11.3521,0.00,0.00,9002.67,0.00,11804.62,209396.02,4450.66,22016.16,4200.59,0.00,2600.23,600.01,0.00,0.00,200.00,4000.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00
11.6491,0.00,0.00,10103.37,0.00,8602.45,217357.67,5350.95,18811.80,3600.43,0.00,5000.84,800.02,0.00,0.00,200.00,4200.61,0.00,0.00,100.00,0.00,200.00,0.00,0.00,0.00,400.01
11.9461,0.00,0.00,9703.11,0.00,7802.02,213655.22,5350.95,18411.30,2000.13,0.00,3200.35,400.01,0.00,0.00,0.00,3450.41,0.00,0.00,50.00,600.01,0.00,0.00,0.00,0.00,0.00
12.2431,0.00,0.00,10203.43,0.00,9603.05,210663.53,3950.52,21615.58,2200.16,0.00,2400.19,400.01,0.00,200.00,0.00,4300.63,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
12.5402,0.00,0.00,9402.92,0.00,9002.68,207824.49,4550.69,21215.01,3400.39,0.00,2600.23,0.00,0.00,0.00,0.00,4300.63,0.00,0.00,0.00,200.00,0.00,0.00,0.00,33.33,200.00
12.8372,0.00,0.00,10003.30,0.00,9603.05,207773.78,5200.90,16809.42,2000.13,0.00,2800.26,1600.09,0.00,0.00,0.00,3800.50,0.00,0.00,0.00,200.00,0.00,0.00,0.00,33.33,0.00
13.1342,0.00,0.00,9502.98,0.00,8202.23,207013.43,5651.06,17610.34,2000.13,0.00,3200.35,1600.09,0.00,200.00,200.00,3200.35,0.00,0.00,0.00,200.00,0.00,0.00,200.00,0.00,0.00
13.4312,0.00,0.00,9202.79,0.00,7001.62,214770.95,5751.10,20614.17,1800.11,0.00,3800.49,200.00,0.00,0.00,0.00,3800.50,200.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
