D:\0 ICPMS Data\User Data\Hakim, Fahmi\24_03_22_ap_ne_FIMI.b\24_03_22_a23.d
Intensity Vs Time,CPS
Acquired      : 22/03/2024 13:01:03 using Batch 24_03_22_ap_ne_FIMI.b
Time [Sec],Li7,B11,Na23,Mg24,Al27,Si29,P31,S34,Cl35,K39,Ca43,Ca44,Sc45,Ti49,V51,Mn55,Fe56,Fe57,Ni60,Cu63,Zn66,As75,Br81,Rb85,Sr88,Y89,Zr90,Nb93,Sb121,I127,Cs133,Ba137,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Dy163,Er166,Yb172,Hf178,Ta181,Pb208
2.7985,1000.03,0.00,21015.13,0.00,0.00,11004.17,3500.42,500.01,1000.03,31534.42,0.00,3500.43,0.00,500.01,0.00,1500.08,62134.99,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.9785,500.01,0.00,16509.34,0.00,500.01,10503.80,2000.14,1750.11,500.01,32035.52,0.00,6001.25,0.00,0.00,0.00,1000.04,66655.32,0.00,0.00,0.00,0.00,0.00,250.00,500.01,0.00,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.1586,500.01,500.01,20514.42,0.00,500.01,10003.44,1500.08,1750.11,2250.17,34541.29,500.01,4500.70,0.00,0.00,500.01,2500.22,69167.24,1000.04,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00
3.3386,0.00,0.00,23018.15,0.00,0.00,10503.80,1500.08,2250.17,500.01,31534.42,1000.03,6001.25,0.00,0.00,0.00,4000.56,63139.38,500.01,0.00,0.00,0.00,500.01,500.01,0.00,0.00,0.00,0.00,0.00,0.00,1500.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.5186,500.01,0.00,22517.37,0.00,500.01,9503.11,1000.03,750.02,1250.05,34040.10,0.00,3500.43,0.00,0.00,0.00,3000.32,59624.31,500.01,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.6987,1000.03,0.00,18511.74,0.00,1500.08,15508.27,2000.14,1500.08,500.01,29029.17,0.00,7501.96,0.00,0.00,0.00,2000.14,69167.24,1000.04,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.8787,2000.14,0.00,25522.31,0.00,1000.03,11504.55,3000.31,2250.17,250.00,37548.79,0.00,2500.22,500.01,0.00,0.00,2500.22,58620.16,1500.08,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.0588,1500.08,0.00,23018.15,0.00,0.00,5501.04,3000.31,2750.26,1750.11,35042.50,0.00,4500.70,0.00,0.00,0.00,1500.08,54604.27,1000.04,0.00,0.00,0.00,0.00,500.01,500.01,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.2388,0.00,0.00,24019.76,0.00,0.00,10003.44,2000.14,1250.05,1750.11,29530.18,0.00,3000.31,0.00,0.00,0.00,3500.43,58620.16,3000.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.4189,1500.08,0.00,19012.38,0.00,1000.03,13005.82,2000.14,1750.11,2250.17,33538.93,0.00,4500.70,500.01,0.00,0.00,2500.22,74192.38,500.01,0.00,0.00,500.01,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
