D:\0 ICPMS Data\User Data\Hakim, Fahmi\24_03_22_ap_ne_FIMI.b\24_03_22_a01.d
Intensity Vs Time,CPS
Acquired      : 22/03/2024 09:58:57 using Batch 24_03_22_ap_ne_FIMI.b
Time [Sec],Li7,B11,Na23,Mg24,Al27,Si29,P31,S34,Cl35,K39,Ca43,Ca44,Sc45,Ti49,V51,Mn55,Fe56,Fe57,Ni60,Cu63,Zn66,As75,Br81,Rb85,Sr88,Y89,Zr90,Nb93,Sb121,I127,Cs133,Ba137,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Dy163,Er166,Yb172,Hf178,Ta181,Pb208
0.2787,0.00,0.00,20514.42,0.00,500.01,19513.10,1000.03,2250.17,1250.05,63640.01,0.00,13005.88,0.00,0.00,0.00,3000.32,111937.33,8002.24,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,1250.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.4587,0.00,0.00,18511.74,0.00,1000.03,13506.28,4000.55,1500.08,1000.03,61631.33,0.00,10003.48,0.00,0.00,0.00,3000.32,108914.08,6001.26,0.00,500.01,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,1500.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.6388,2000.14,500.01,23518.95,0.00,0.00,13005.82,500.01,2000.14,3500.42,52595.67,0.00,12505.43,0.00,0.00,0.00,1500.08,98841.15,3500.43,0.00,0.00,0.00,500.01,1500.08,0.00,0.00,0.00,0.00,0.00,500.01,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.8188,2000.14,1000.03,18511.74,0.00,0.00,14507.24,1500.08,3500.42,1250.05,61129.20,0.00,12005.01,0.00,0.00,0.00,3500.43,95317.29,5000.88,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.9989,0.00,0.00,23518.95,0.00,1000.03,13506.28,1500.08,2750.26,2250.17,72180.06,0.00,10503.83,0.00,0.00,0.00,3000.32,94813.96,5501.06,0.00,0.00,0.00,0.00,1250.06,0.00,0.00,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.1789,1000.03,0.00,18011.11,0.00,500.01,18511.79,2500.22,2250.17,2000.14,62133.47,500.01,16008.91,500.01,0.00,0.00,3000.32,108914.08,6001.26,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500.01
1.3590,1000.03,0.00,19012.38,0.00,1500.08,14507.24,2000.14,2000.14,2750.26,73185.11,0.00,14507.31,0.00,0.00,0.00,4000.56,93807.33,5000.88,0.00,0.00,0.00,500.01,1750.11,0.00,0.00,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5390,2000.14,0.00,19513.04,0.00,0.00,12004.96,500.01,2250.17,2500.22,57112.79,0.00,10003.48,0.00,0.00,0.00,3500.43,99848.12,6001.26,0.00,0.00,0.00,0.00,1250.06,0.00,0.00,0.00,0.00,0.00,0.00,1250.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.7190,0.00,0.00,28527.87,0.00,0.00,13005.82,2000.14,2250.17,1000.03,59120.85,1500.08,8502.51,0.00,0.00,0.00,8002.24,99848.12,6501.48,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.8991,500.01,0.00,25021.44,0.00,500.01,14507.24,1000.03,2500.22,1750.11,63640.01,0.00,13005.88,0.00,0.00,0.00,4000.56,97834.24,5501.06,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,1250.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.0791,2000.14,0.00,22517.37,0.00,0.00,17510.55,1500.08,1500.08,1250.05,65648.99,0.00,11004.21,0.00,0.00,0.00,3500.43,94813.96,4500.71,0.00,0.00,0.00,0.00,1250.06,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.2592,1500.08,500.01,22016.60,0.00,0.00,19513.10,2000.14,2000.14,2500.22,67658.23,500.01,13005.88,0.00,0.00,0.00,2500.22,105387.74,4000.56,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.4392,1000.03,0.00,22517.37,0.00,0.00,17009.95,4500.70,2750.26,1750.11,60627.09,1000.03,11504.60,500.01,0.00,0.00,2000.14,94310.64,3500.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2250.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500.01
2.6193,2500.21,0.00,28527.87,0.00,500.01,24520.68,2500.22,1500.08,2500.22,65146.71,1000.03,11004.21,0.00,0.00,0.00,4500.71,90787.90,4500.71,0.00,0.00,0.00,1000.04,1250.06,0.00,500.01,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.7993,500.01,0.00,15007.72,0.00,0.00,18011.16,2000.14,3250.36,1750.11,59622.92,1000.03,10503.83,0.00,0.00,0.00,2500.22,110929.51,6501.48,0.00,500.01,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.9793,500.01,0.00,22016.60,0.00,0.00,13005.82,2000.14,3000.31,250.00,55606.93,0.00,9002.82,0.00,0.00,0.00,2500.22,104884.06,4500.71,0.00,0.00,0.00,500.01,1500.08,0.00,0.00,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.1594,1500.08,0.00,21015.13,0.00,1000.03,17510.55,1500.08,1500.08,1500.08,62133.47,500.01,9503.14,0.00,0.00,0.00,2500.22,91291.10,5501.06,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.3394,500.01,0.00,20013.72,0.00,2500.21,20514.47,2000.14,2250.17,1750.11,63640.01,0.00,13005.88,0.00,0.00,0.00,2500.22,103876.72,4000.56,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
