C:\Agilent\ICPMH\1\DATA\User Batches\Tobias_F\Orogenic Gold\PAM_FI_16may17.b\16may17_a16.d
Intensity Vs Time,CPS
Acquired      : 17/05/2016 12:05:27 using Batch PAM_FI_16may17.b
Time [Sec],Li7,B11,Na23,Mg24,Si29,S32,Cl35,K39,Ca44,Ti49,Mn55,Fe57,Cu63,Zn66,As75,Br81,Rb85,Sr88,Ag107,Sb121,Cs133,Ba137,W182,Au197,Pb208
0.3622,0.00,0.00,8402.33,0.00,3800.48,107431.91,3100.32,12204.97,3200.34,0.00,2800.26,0.00,0.00,0.00,0.00,3050.32,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
0.6592,0.00,0.00,9603.04,0.00,4800.76,102699.06,3050.31,11804.65,1600.09,0.00,1600.09,400.01,0.00,0.00,200.00,2900.29,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
0.9562,0.00,0.00,9102.73,0.00,4400.64,106021.97,3600.43,11804.65,2400.19,0.00,2400.19,0.00,0.00,0.00,0.00,2850.28,0.00,0.00,50.00,0.00,0.00,0.00,0.00,16.67,0.00
1.2532,0.00,0.00,6801.53,0.00,6801.53,98722.60,3550.42,11804.65,2800.26,0.00,3400.39,200.00,0.00,0.00,0.00,3050.32,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5503,0.00,0.00,7401.81,0.00,5801.12,100735.86,4050.55,11204.19,3000.30,0.00,2000.14,0.00,200.00,0.00,200.00,3150.34,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
1.8473,0.00,0.00,8502.38,0.00,4200.58,108539.82,3000.30,12004.81,3800.48,0.00,3400.39,0.00,0.00,0.00,0.00,3200.35,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
2.1443,0.00,0.00,9202.79,0.00,5801.12,105568.81,3250.35,14006.54,1800.11,0.00,3400.39,0.00,0.00,600.01,200.00,2900.29,0.00,0.00,100.00,600.01,0.00,0.00,0.00,16.67,0.00
2.4413,0.00,0.00,7701.96,0.00,5000.83,104259.73,2950.29,11204.19,2000.13,0.00,1600.09,400.01,0.00,0.00,0.00,3000.31,0.00,0.00,50.00,200.00,0.00,0.00,0.00,0.00,0.00
2.7384,0.00,0.00,6901.57,0.00,5000.83,104511.47,3450.40,12004.81,2600.23,0.00,2000.14,0.00,0.00,0.00,0.00,2150.16,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
3.0354,0.00,0.00,7701.96,0.00,3600.43,106626.22,3450.40,10403.61,800.02,0.00,2200.16,400.01,0.00,0.00,600.01,2900.29,200.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
