C:\Agilent\ICPMH\1\DATA\User Batches\Tobias_F\Orogenic Gold\PAM_FI_16may17.b\16may17_a11.d
Intensity Vs Time,CPS
Acquired      : 17/05/2016 11:30:33 using Batch PAM_FI_16may17.b
Time [Sec],Li7,B11,Na23,Mg24,Si29,S32,Cl35,K39,Ca44,Ti49,Mn55,Fe57,Cu63,Zn66,As75,Br81,Rb85,Sr88,Ag107,Sb121,Cs133,Ba137,W182,Au197,Pb208
0.3622,0.00,0.00,6501.39,0.00,20013.26,106676.57,3900.51,12204.97,1400.07,0.00,2600.23,0.00,0.00,0.00,0.00,2050.14,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.6592,0.00,0.00,7501.86,0.00,13606.13,105518.46,3350.37,10403.61,1600.09,0.00,1800.11,400.01,0.00,0.00,200.00,2900.29,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
0.9562,0.00,0.00,5300.93,0.00,11804.62,103202.49,2650.23,11804.65,1600.09,0.00,3200.35,0.00,0.00,0.00,0.00,3250.36,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
1.2532,0.00,400.01,6901.57,0.00,8602.45,105518.46,4000.53,12805.47,1600.09,0.00,2400.19,0.00,0.00,0.00,200.00,3200.35,0.00,0.00,0.00,200.00,0.00,0.00,0.00,16.67,0.00
1.5503,0.00,0.00,6001.19,0.00,8202.23,103101.81,3650.44,15007.51,2400.19,0.00,2000.14,0.00,0.00,0.00,600.01,3500.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.8473,0.00,0.00,6901.57,0.00,5601.04,110755.87,3550.42,10203.47,1600.09,0.00,3800.49,0.00,0.00,0.00,0.00,2800.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.1443,0.00,0.00,8402.33,0.00,5801.12,106424.80,3200.34,12004.81,2000.13,0.00,2200.16,200.00,0.00,0.00,0.00,2200.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.4413,0.00,200.00,7101.66,0.00,6201.27,98470.96,3000.30,13606.18,1400.07,0.00,1600.09,200.00,0.00,0.00,0.00,3450.41,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
2.7384,0.00,0.00,5400.96,0.00,5801.12,99024.57,2800.26,12605.30,2800.26,0.00,2600.23,400.01,0.00,0.00,0.00,3350.39,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
3.0354,0.00,0.00,7201.71,0.00,4600.70,105770.21,3650.44,16408.98,1200.05,0.00,2200.16,200.00,0.00,0.00,0.00,2750.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
