D:\0 ICPMS Data\User Data\Hakim, Fahmi\24_03_22_ap_ne_FIMI.b\24_03_22_a05.d
Intensity Vs Time,CPS
Acquired      : 22/03/2024 10:07:54 using Batch 24_03_22_ap_ne_FIMI.b
Time [Sec],Li7,B11,Na23,Mg24,Al27,Si29,P31,S34,Cl35,K39,Ca43,Ca44,Sc45,Ti49,V51,Mn55,Fe56,Fe57,Ni60,Cu63,Zn66,As75,Br81,Rb85,Sr88,Y89,Zr90,Nb93,Sb121,I127,Cs133,Ba137,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Dy163,Er166,Yb172,Hf178,Ta181,Pb208
0.2775,1000.03,0.00,17510.50,0.00,500.01,9503.11,3500.42,1750.11,3000.31,53599.35,0.00,5000.87,500.01,0.00,0.00,2500.22,92800.79,4500.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1750.11,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.4575,500.01,0.00,27525.95,0.00,2000.14,12004.96,1500.08,500.01,1250.05,45571.84,500.01,9002.82,1000.03,0.00,500.01,1500.08,82236.29,5000.88,0.00,0.00,500.01,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.6376,1000.03,0.00,22016.60,0.00,500.01,11504.55,2500.22,3500.42,2500.22,47076.66,500.01,7001.70,500.01,0.00,0.00,3000.32,86762.98,4500.71,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,1500.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.8176,1000.03,1000.03,22517.37,0.00,0.00,14006.75,3000.31,1750.11,2500.22,46073.43,500.01,8502.51,0.00,0.00,0.00,4000.56,83242.10,3000.32,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,1500.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.9977,2000.14,0.00,17009.91,0.00,0.00,17009.95,1500.08,1500.08,1000.03,52595.67,0.00,6501.47,500.01,0.00,0.00,5501.06,84750.94,1000.04,0.00,0.00,0.00,0.00,1500.08,0.00,0.00,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.1777,0.00,0.00,18011.11,500.01,0.00,15508.27,1000.03,1750.11,2000.14,51090.28,0.00,10503.83,0.00,0.00,0.00,2500.22,98841.15,4000.56,0.00,0.00,0.00,0.00,1250.06,0.00,0.00,0.00,0.00,0.00,0.00,1750.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.3577,1000.03,0.00,22517.37,0.00,0.00,14006.75,2500.22,1500.08,1250.05,47076.66,0.00,9002.82,0.00,0.00,0.00,2000.14,88775.30,2000.14,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5378,1000.03,0.00,20013.72,0.00,0.00,12004.96,4500.70,1000.03,2250.17,55105.01,0.00,7501.96,0.00,0.00,0.00,2500.22,88775.30,1000.04,0.00,0.00,0.00,0.00,1000.04,500.01,0.00,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.7178,1500.08,0.00,23518.95,0.00,1000.03,17009.95,2500.22,1500.08,750.02,47578.30,0.00,9002.82,0.00,0.00,0.00,2000.14,83745.03,3500.43,0.00,0.00,0.00,500.01,750.02,0.00,0.00,0.00,0.00,0.00,0.00,1250.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.8979,500.01,0.00,16509.34,0.00,0.00,21015.19,3500.42,1500.08,1250.05,43064.16,500.01,10503.83,0.00,0.00,0.00,4000.56,89278.42,1500.08,0.00,500.01,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.0779,500.01,0.00,19012.38,0.00,500.01,14507.24,1500.08,1750.11,1250.05,56108.87,1000.03,7501.96,500.01,0.00,0.00,3000.32,96827.41,3500.43,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.2580,2000.14,0.00,24520.59,0.00,1000.03,16509.37,1000.03,1000.03,1000.03,50588.52,1500.08,11504.60,0.00,0.00,0.00,3000.32,87769.10,1500.08,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
