C:\Agilent\ICPMH\1\DATA\User Batches\Johan\Scapolites\16nov14_Scapolite_comparison.b\16nov14_a07.d
Intensity Vs Time,CPS
Acquired      : 14/11/2016 14:13:48 using Batch 16nov14_Scapolite_comparison.b
Time [Sec],Li7,Na23,Mg24,Al27,Si29,P31,S34,Cl35,K39,Ca44,Ti49,Mn55,Fe56,Fe57,Zn66,Br81,Rb85,Sr88,I127,Cs133,Ba137,Pb208
0.3712,0.00,22216.28,0.00,500.01,15507.97,3000.30,2300.18,5050.85,17309.99,8602.48,0.00,6101.26,245315.11,200.00,0.00,1000.03,0.00,0.00,900.03,0.00,0.00,0.00
0.6852,0.00,24119.18,0.00,100.00,13305.87,2500.21,1200.05,3600.43,16108.65,7902.09,0.00,7501.90,250907.64,300.00,0.00,1450.07,100.00,0.00,1125.04,100.00,0.00,0.00
0.9992,0.00,19011.92,0.00,300.00,15207.66,3200.34,1500.07,5150.88,18110.94,7401.83,0.00,8102.21,261284.79,100.00,0.00,1250.05,0.00,0.00,1150.05,0.00,0.00,0.00
1.3132,0.00,25421.31,0.00,0.00,17109.70,2100.15,1900.12,4500.67,18010.82,8702.54,0.00,7601.95,249687.28,400.01,100.00,1000.03,0.00,0.00,1000.04,0.00,0.00,0.00
1.6273,100.00,19612.69,0.00,200.00,17309.92,2300.18,1600.09,4850.78,17309.99,10403.62,0.00,7001.65,253958.98,200.00,0.00,1800.11,300.00,0.00,1050.04,0.00,0.00,0.00
1.9413,0.00,21915.84,0.00,200.00,17910.62,2300.18,2700.24,4650.72,16609.20,8302.31,0.00,7601.95,252534.96,500.01,0.00,1050.04,100.00,0.00,1175.05,0.00,0.00,0.00
2.2553,0.00,23518.24,0.00,300.00,15608.07,1800.11,1500.07,4650.72,17510.22,7701.99,0.00,6301.34,267901.44,100.00,0.00,1100.04,0.00,0.00,925.03,0.00,0.00,0.00
2.5693,0.00,21915.84,0.00,400.01,17209.81,2300.18,2500.21,4250.60,15007.51,7001.64,0.00,7201.75,251822.97,300.00,0.00,1250.05,0.00,0.00,1275.06,0.00,0.00,0.00
2.8833,0.00,22116.13,0.00,300.00,15007.46,1200.05,1600.09,4200.59,19112.18,7301.78,0.00,6701.52,248670.36,400.01,100.00,1550.08,0.00,0.00,725.02,0.00,0.00,0.00
3.1974,0.00,21915.84,0.00,400.01,16208.70,3200.34,1800.11,3650.44,16509.09,7902.09,0.00,6201.30,261488.33,100.00,0.00,1350.06,0.00,0.00,1275.06,0.00,0.00,0.00
