C:\Agilent\ICPMH\1\DATA\User Batches\Johan\Scapolites\16nov14_Scapolite_comparison.b\16nov14_a11.d
Intensity Vs Time,CPS
Acquired      : 14/11/2016 14:34:43 using Batch 16nov14_Scapolite_comparison.b
Time [Sec],Li7,Na23,Mg24,Al27,Si29,P31,S34,Cl35,K39,Ca44,Ti49,Mn55,Fe56,Fe57,Zn66,Br81,Rb85,Sr88,I127,Cs133,Ba137,Pb208
0.3712,0.00,19812.95,0.00,200.00,15608.07,2400.19,2000.13,4150.57,15808.34,9302.90,0.00,6901.61,249890.65,400.01,0.00,1050.04,0.00,0.00,1125.04,0.00,0.00,0.00
0.6852,100.00,21615.41,0.00,200.00,18210.98,1900.12,1400.07,4400.64,15407.92,9002.71,0.00,6401.38,253958.98,400.01,0.00,1100.04,0.00,0.00,1100.04,0.00,0.00,0.00
0.9992,100.00,23418.08,0.00,500.01,14206.68,3100.32,2000.13,5100.87,16208.76,9703.15,0.00,7802.05,261081.25,100.00,0.00,1550.08,0.00,0.00,1175.05,100.00,0.00,0.00
1.3133,0.00,22015.99,0.00,400.01,15207.66,2300.18,1900.12,4650.72,17109.76,8302.31,0.00,8202.27,256298.78,700.02,100.00,550.01,0.00,0.00,975.03,0.00,0.00,0.00
1.6273,0.00,22015.99,0.00,400.01,15007.46,2900.28,1200.05,3700.46,15207.71,7802.04,0.00,6601.47,243586.94,100.00,0.00,1300.06,0.00,0.00,1100.04,0.00,0.00,0.00
1.9413,100.00,22216.28,0.00,200.00,17510.15,1600.09,1200.05,4850.78,15407.92,8302.31,0.00,7401.85,256909.23,200.00,0.00,1200.05,0.00,0.00,1025.04,0.00,0.00,0.00
2.2553,200.00,22316.42,0.00,300.00,15908.38,3000.30,1700.10,4400.64,15908.44,8902.65,0.00,5901.17,253755.57,300.00,0.00,1000.03,0.00,0.00,1400.07,0.00,0.00,0.00
2.5694,0.00,22316.42,0.00,400.01,16408.92,2200.16,1900.12,5000.83,16308.87,8102.20,0.00,8302.32,242875.39,0.00,0.00,1150.05,0.00,0.00,1250.06,0.00,0.00,100.00
2.8834,0.00,19712.82,0.00,0.00,15808.28,1500.07,2000.13,5200.90,16609.20,8002.14,0.00,9002.73,253857.28,0.00,0.00,1550.08,0.00,0.00,1100.04,0.00,0.00,0.00
3.1974,0.00,22316.42,0.00,200.00,13806.31,2500.21,2100.15,3750.47,17009.65,8002.14,0.00,8102.21,253755.57,500.01,0.00,1150.05,0.00,0.00,1200.05,0.00,0.00,0.00
3.5114,0.00,21114.70,0.00,200.00,14907.36,1900.12,2600.22,5100.87,15808.34,8902.65,0.00,7201.75,260470.63,500.01,0.00,1300.06,100.00,0.00,825.02,100.00,0.00,0.00
3.8254,100.00,23117.62,0.00,300.00,16308.81,2500.21,1000.03,4150.57,15508.02,9703.15,0.00,7301.80,268003.27,300.00,100.00,850.02,100.00,0.00,1325.06,0.00,0.00,0.00
4.1395,0.00,19612.69,0.00,300.00,15608.07,2300.18,700.02,5551.03,16709.31,8202.25,0.00,6501.43,260063.57,300.00,0.00,1200.05,0.00,0.00,1075.04,0.00,0.00,0.00
4.4535,100.00,20213.48,0.00,700.02,13906.41,1900.12,1100.04,3700.46,14206.73,8102.20,0.00,7201.75,248772.07,400.01,0.00,1200.05,0.00,0.00,1225.05,0.00,0.00,0.00
4.7675,0.00,22817.17,0.00,100.00,16709.25,2500.21,1800.11,3950.52,17810.58,8502.42,0.00,6001.21,248670.36,300.00,0.00,900.03,0.00,0.00,1075.04,0.00,0.00,0.00
5.0815,0.00,21815.70,0.00,400.01,16208.70,1900.12,1700.10,4500.67,17510.22,9402.96,0.00,6501.43,276252.78,100.00,0.00,1050.04,100.00,0.00,900.03,0.00,0.00,0.00
5.3956,0.00,22516.72,0.00,100.00,17410.04,2300.18,2100.15,4500.67,13606.18,9102.77,0.00,6501.43,247246.83,400.01,0.00,950.03,100.00,0.00,1025.04,0.00,0.00,0.00
5.7096,0.00,18210.94,0.00,700.02,18110.86,2600.22,1500.07,4700.74,14707.21,10203.49,0.00,8202.27,266781.49,100.00,0.00,1200.05,0.00,0.00,1025.04,0.00,0.00,0.00
6.0236,0.00,22616.87,0.00,200.00,15507.97,2800.26,1400.07,4550.69,16008.55,8802.59,0.00,8002.16,250907.64,200.00,0.00,1000.03,0.00,0.00,1425.07,100.00,0.00,0.00
6.3376,0.00,21515.27,0.00,400.01,16709.25,3200.34,1200.05,4250.60,14507.02,8402.36,0.00,7401.85,244501.83,400.01,0.00,1200.05,0.00,0.00,1250.06,0.00,0.00,0.00
6.6516,200.00,21214.84,0.00,600.01,17710.39,2400.19,1700.10,4700.74,16809.42,9302.90,0.00,6901.61,250805.93,400.01,0.00,1300.06,0.00,0.00,1025.04,0.00,0.00,0.00
6.9657,0.00,23918.86,0.00,300.00,16308.81,2500.21,2800.26,4550.69,15508.02,9302.90,0.00,6101.26,252636.65,200.00,100.00,1100.04,0.00,0.00,1125.04,100.00,0.00,0.00
7.2797,0.00,23317.93,0.00,600.01,16809.36,2500.21,1100.04,4300.62,17109.76,9402.96,0.00,7401.85,260674.17,500.01,0.00,950.03,0.00,0.00,1200.05,0.00,0.00,0.00
7.5937,100.00,20614.01,0.00,100.00,16809.36,2700.24,1900.12,5250.92,15007.51,8002.14,0.00,6601.47,247755.22,200.00,0.00,1400.07,0.00,0.00,1050.04,0.00,0.00,0.00
7.9077,0.00,21415.12,0.00,100.00,14506.97,1900.12,1500.07,4700.74,16509.09,9402.96,0.00,7401.85,247856.91,700.02,100.00,1000.03,0.00,0.00,900.03,0.00,0.00,100.00
8.2218,0.00,22216.28,0.00,300.00,14707.16,2100.15,1500.07,5000.83,16509.09,9202.84,100.00,7802.05,252534.96,300.00,0.00,1000.03,0.00,0.00,1150.05,0.00,0.00,100.00
8.5358,0.00,19712.82,0.00,400.01,14907.36,3400.38,1800.11,4700.74,17610.34,8702.54,0.00,7201.75,247958.59,200.00,100.00,1400.07,100.00,0.00,875.03,0.00,0.00,0.00
8.8498,0.00,25721.81,0.00,300.00,14907.36,1400.07,1700.10,4200.59,17009.65,8702.54,0.00,8702.55,265967.04,200.00,0.00,1200.05,0.00,0.00,1000.04,0.00,0.00,0.00
9.1638,0.00,20614.01,0.00,200.00,16709.25,2200.16,2200.16,4500.67,17109.76,6501.42,0.00,5701.10,252026.39,100.00,0.00,1800.11,0.00,0.00,1100.04,0.00,0.00,0.00
9.4778,0.00,22817.17,0.00,700.02,13005.60,1400.07,1700.10,6051.22,16809.42,7201.74,0.00,7802.05,247755.22,200.00,100.00,1350.06,100.00,0.00,1025.04,0.00,0.00,0.00
9.7919,0.00,19612.69,0.00,300.00,16408.92,2600.22,2100.15,5150.88,18511.43,8702.54,0.00,7802.05,266577.88,400.01,100.00,1050.04,0.00,0.00,1150.05,0.00,0.00,0.00
10.1059,0.00,20614.01,0.00,300.00,16909.47,2100.15,1100.04,4400.64,17610.34,7902.09,0.00,6401.38,243790.23,300.00,0.00,1450.07,0.00,0.00,1025.04,0.00,0.00,0.00
10.4199,0.00,23418.08,0.00,200.00,14306.78,1600.09,1900.12,4500.67,13906.45,6301.33,0.00,6801.56,257723.19,200.00,100.00,1500.08,100.00,0.00,1000.04,0.00,0.00,0.00
10.7339,100.00,21615.41,0.00,0.00,17410.04,2700.24,1300.06,3350.37,16509.09,8402.36,0.00,6301.34,247145.17,0.00,0.00,1250.05,100.00,0.00,800.02,0.00,0.00,0.00
11.0479,0.00,23217.78,0.00,100.00,15708.17,2200.16,1300.06,4500.67,17610.34,8402.36,0.00,8202.27,243586.94,0.00,0.00,1150.05,0.00,0.00,1100.04,0.00,0.00,100.00
11.3620,100.00,21815.70,0.00,0.00,16809.36,1500.07,2000.13,5000.83,16008.55,9002.71,0.00,8502.44,255891.85,200.00,0.00,1250.05,0.00,0.00,1175.05,0.00,0.00,0.00
11.6760,100.00,25821.98,0.00,100.00,16108.59,2400.19,1300.06,4350.63,17610.34,7601.93,0.00,6301.34,246738.45,300.00,100.00,1350.06,0.00,0.00,900.03,0.00,0.00,0.00
11.9900,0.00,23418.08,0.00,400.01,14707.16,2100.15,2400.19,4550.69,16809.42,10203.49,0.00,7201.75,245213.43,300.00,100.00,1150.05,0.00,0.00,850.03,0.00,0.00,0.00
12.3040,0.00,21815.70,0.00,400.01,15407.86,3000.30,1200.05,4200.59,18611.55,7902.09,0.00,8002.16,250805.93,200.00,0.00,1450.07,100.00,0.00,900.03,100.00,0.00,0.00
12.6181,0.00,23718.55,0.00,200.00,12405.10,1900.12,1400.07,4050.55,15808.34,11104.13,0.00,8002.16,257112.72,200.00,0.00,1500.08,100.00,0.00,1000.04,0.00,0.00,0.00
12.9321,0.00,20614.01,0.00,400.01,15407.86,1800.11,1400.07,4250.60,15508.02,8802.59,0.00,6101.26,254772.80,100.00,0.00,950.03,0.00,0.00,1200.05,0.00,0.00,0.00
13.2461,0.00,24419.66,0.00,200.00,13506.04,2100.15,600.01,4800.77,16509.09,8702.54,0.00,7301.80,250704.22,400.01,0.00,1150.05,0.00,0.00,1275.06,0.00,0.00,0.00
13.5601,0.00,21815.70,0.00,300.00,17209.81,2400.19,1200.05,4350.63,14306.83,8902.65,0.00,7001.65,243383.62,700.02,0.00,1000.03,0.00,0.00,1075.04,100.00,0.00,0.00
13.8741,0.00,23418.08,0.00,200.00,15307.76,3300.36,1100.04,4350.63,15708.23,7401.83,0.00,6101.26,243281.98,200.00,0.00,1900.12,0.00,0.00,875.03,0.00,0.00,0.00
14.1882,100.00,21815.70,0.00,300.00,16108.59,1300.06,1500.07,4700.74,17610.34,8702.54,0.00,7201.75,242672.09,100.00,0.00,1650.09,0.00,0.00,1150.05,0.00,0.00,0.00
14.5022,0.00,21815.70,0.00,300.00,16408.92,2300.18,1300.06,4250.60,17109.76,10403.62,0.00,7201.75,264032.89,700.02,0.00,850.02,0.00,0.00,1250.06,0.00,0.00,0.00
14.8162,0.00,19712.82,0.00,100.00,14306.78,1800.11,1600.09,4800.77,15508.02,8602.48,0.00,6401.38,244095.19,300.00,0.00,950.03,100.00,0.00,1400.07,0.00,0.00,0.00
15.1302,100.00,20614.01,0.00,200.00,16108.59,1200.05,1600.09,3850.49,17209.88,8402.36,0.00,6501.43,254874.54,100.00,0.00,800.02,100.00,0.00,1000.04,0.00,0.00,0.00
15.4443,0.00,21214.84,0.00,400.01,15808.28,2300.18,1800.11,4400.64,16809.42,9402.96,0.00,7802.05,253653.83,300.00,0.00,1000.03,0.00,0.00,1325.06,0.00,0.00,0.00
