C:\Agilent\ICPMH\1\DATA\User Batches\Johan\Scapolites\16nov14_Scapolite_comparison.b\16nov14_a05.d
Intensity Vs Time,CPS
Acquired      : 14/11/2016 14:07:33 using Batch 16nov14_Scapolite_comparison.b
Time [Sec],Li7,Na23,Mg24,Al27,Si29,P31,S34,Cl35,K39,Ca44,Ti49,Mn55,Fe56,Fe57,Zn66,Br81,Rb85,Sr88,I127,Cs133,Ba137,Pb208
0.3712,0.00,21014.56,0.00,100.00,16809.36,2200.16,1300.06,4950.82,13606.18,8402.36,0.00,7601.95,258537.21,200.00,0.00,1450.07,0.00,0.00,1200.05,0.00,0.00,0.00
0.6852,0.00,20413.74,0.00,0.00,15808.28,2400.19,2000.13,4300.62,17410.11,8802.59,0.00,8402.38,242265.53,0.00,0.00,950.03,0.00,0.00,1000.04,0.00,0.00,0.00
0.9992,100.00,22015.99,0.00,200.00,18210.98,1700.10,1600.09,4250.60,16408.98,9402.96,0.00,8702.55,243790.23,200.00,0.00,1200.05,0.00,0.00,1250.06,0.00,0.00,0.00
1.3133,0.00,19512.56,0.00,400.01,13906.41,2900.28,1300.06,3800.48,17710.46,8602.48,0.00,6201.30,259656.52,0.00,0.00,1300.06,0.00,0.00,1225.05,0.00,0.00,0.00
1.6273,0.00,21715.55,0.00,0.00,17910.62,2500.21,1500.07,5050.85,14006.54,9202.84,0.00,7301.80,247755.22,300.00,0.00,1100.04,100.00,0.00,1000.04,0.00,0.00,0.00
1.9413,0.00,23918.86,0.00,100.00,15507.97,2200.16,1200.05,3950.52,17309.99,9703.15,0.00,6101.26,260877.71,300.00,100.00,1400.07,0.00,0.00,1000.04,0.00,0.00,0.00
2.2553,0.00,22116.13,0.00,300.00,16008.49,3000.30,1800.11,5300.93,17910.70,8302.31,0.00,7301.80,255993.58,500.01,0.00,1800.11,0.00,0.00,1300.06,0.00,0.00,0.00
2.5694,0.00,20113.34,0.00,300.00,18010.74,2800.26,1400.07,4300.62,17510.22,9503.02,0.00,6001.21,269021.46,100.00,100.00,1700.10,100.00,0.00,775.02,100.00,0.00,0.00
2.8834,0.00,17410.00,0.00,300.00,18110.86,2000.13,1500.07,4250.60,16108.65,9202.84,0.00,5400.98,243688.57,500.01,0.00,1250.05,100.00,0.00,1025.04,0.00,0.00,0.00
3.1974,0.00,23017.47,0.00,500.01,16609.14,1600.09,1900.12,5150.88,14106.64,9803.22,0.00,6401.38,257112.72,200.00,0.00,1500.08,0.00,0.00,1050.04,0.00,0.00,0.00
