C:\Agilent\ICPMH\1\DATA\User Batches\Johan\Scapolites\16nov14_Scapolite_comparison.b\16nov14_a10.d
Intensity Vs Time,CPS
Acquired      : 14/11/2016 14:30:51 using Batch 16nov14_Scapolite_comparison.b
Time [Sec],Li7,Na23,Mg24,Al27,Si29,P31,S34,Cl35,K39,Ca44,Ti49,Mn55,Fe56,Fe57,Zn66,Br81,Rb85,Sr88,I127,Cs133,Ba137,Pb208
0.3711,0.00,22817.17,0.00,500.01,14607.07,3000.30,1600.09,4050.55,17510.22,9202.84,0.00,7601.95,243078.69,200.00,0.00,1150.05,0.00,0.00,750.02,0.00,100.00,0.00
0.6851,0.00,22817.17,0.00,300.00,14707.16,2200.16,1600.09,4050.55,16609.20,7401.83,100.00,6901.61,257824.93,300.00,0.00,1000.03,0.00,0.00,750.02,0.00,0.00,0.00
0.9991,0.00,22416.57,0.00,200.00,17710.39,2300.18,1600.09,5050.85,14607.12,8402.36,0.00,8702.55,254569.34,300.00,0.00,1400.07,0.00,0.00,1225.05,100.00,0.00,0.00
1.3131,0.00,22917.32,0.00,100.00,16609.14,1700.10,2200.16,4150.57,15407.92,8602.48,0.00,7902.11,244298.51,100.00,0.00,1300.06,0.00,0.00,1200.05,0.00,0.00,0.00
1.6271,100.00,21515.27,0.00,300.00,18010.74,2200.16,1100.04,4800.77,15407.92,9603.09,100.00,6801.56,255790.09,300.00,0.00,1550.08,0.00,0.00,875.03,0.00,0.00,0.00
1.9412,0.00,18611.42,0.00,300.00,15708.17,1800.11,1900.12,3800.48,16909.54,7601.93,0.00,7501.90,246331.79,500.01,0.00,950.03,0.00,0.00,1150.05,0.00,0.00,0.00
2.2552,0.00,20814.29,0.00,200.00,16308.81,2200.16,1600.09,5000.83,15508.02,9002.71,0.00,7702.00,253348.68,100.00,0.00,1650.09,0.00,0.00,1100.04,0.00,0.00,0.00
2.5692,0.00,23017.47,0.00,300.00,17810.51,2100.15,2000.13,4250.60,14206.73,8702.54,200.00,7201.75,257621.44,0.00,100.00,1250.05,300.00,0.00,1525.08,0.00,0.00,0.00
2.8832,0.00,22917.32,0.00,200.00,14006.50,1600.09,2000.13,4750.75,17710.46,8802.59,0.00,6201.30,255688.38,300.00,0.00,1250.05,0.00,0.00,1225.05,0.00,0.00,0.00
3.1972,0.00,23718.55,0.00,900.03,15307.76,2700.24,1700.10,3850.49,17910.70,8602.48,0.00,7802.05,243993.55,500.01,0.00,1200.05,0.00,0.00,1075.04,0.00,0.00,0.00
3.5113,0.00,20914.43,0.00,800.02,16408.92,2100.15,1400.07,5901.16,14707.21,8402.36,0.00,6501.43,248161.94,400.01,0.00,1550.08,0.00,0.00,1575.09,0.00,0.00,0.00
3.8253,0.00,25521.48,0.00,200.00,15307.76,2500.21,1400.07,4850.78,14807.31,9402.96,100.00,7201.75,246535.11,100.00,0.00,1550.08,0.00,0.00,775.02,0.00,0.00,0.00
4.1393,0.00,23317.93,0.00,200.00,14206.68,2200.16,1000.03,5050.85,14707.21,9302.90,0.00,8702.55,253348.68,400.01,0.00,900.03,0.00,0.00,850.03,0.00,0.00,0.00
4.4533,0.00,24019.02,0.00,300.00,16108.59,2800.26,1100.04,3200.34,17309.99,8502.42,0.00,7201.75,257723.19,400.01,0.00,800.02,0.00,0.00,1275.06,0.00,0.00,0.00
4.7674,0.00,19011.92,0.00,200.00,14306.78,2500.21,2200.16,4750.75,17209.88,9402.96,0.00,7902.11,233323.66,100.00,0.00,1300.06,0.00,0.00,900.03,100.00,0.00,0.00
5.0814,0.00,21515.27,0.00,100.00,16809.36,1900.12,1200.05,3950.52,12605.30,8302.31,0.00,7101.70,254671.07,200.00,0.00,1150.05,0.00,0.00,925.03,0.00,0.00,0.00
5.3954,0.00,23818.71,0.00,400.01,17209.81,1800.11,2100.15,4250.60,18711.68,7201.74,0.00,5300.95,236676.22,200.00,0.00,1300.06,0.00,0.00,1175.05,0.00,0.00,0.00
5.7094,0.00,21615.41,0.00,200.00,16709.25,2300.18,2200.16,3800.48,15708.23,8202.25,0.00,9402.98,246331.79,200.00,100.00,1500.08,0.00,0.00,1325.06,0.00,0.00,0.00
6.0234,0.00,20213.48,0.00,200.00,14506.97,1900.12,2000.13,4550.69,17710.46,9703.15,0.00,6801.56,247348.51,300.00,0.00,1350.06,100.00,0.00,1200.05,0.00,0.00,0.00
6.3375,0.00,22416.57,0.00,300.00,15908.38,2200.16,600.01,4600.70,16408.98,7701.99,0.00,6701.52,260470.63,200.00,0.00,900.03,100.00,0.00,1075.04,0.00,0.00,0.00
6.6515,0.00,23418.08,0.00,400.01,16709.25,2100.15,1100.04,4050.55,15708.23,8102.20,0.00,6801.56,233628.39,400.01,100.00,1650.09,0.00,0.00,1400.07,0.00,0.00,0.00
6.9655,100.00,23518.24,0.00,300.00,17910.62,2500.21,1400.07,5350.95,16609.20,8802.59,0.00,6501.43,244501.83,200.00,0.00,1350.06,0.00,0.00,1225.05,0.00,0.00,0.00
7.2795,0.00,25521.48,0.00,200.00,15608.07,2300.18,1200.05,3800.48,17209.88,8602.48,0.00,8402.38,260165.33,400.01,0.00,1600.09,0.00,0.00,1250.06,0.00,0.00,0.00
7.5936,0.00,23317.93,0.00,100.00,15107.56,2200.16,1900.12,3400.38,16208.76,7201.74,0.00,5400.98,248466.99,300.00,0.00,1550.08,0.00,0.00,825.02,0.00,0.00,100.00
7.9076,0.00,20413.74,0.00,200.00,17610.27,2500.21,1100.04,4000.53,14707.21,9102.77,0.00,7802.05,243485.28,500.01,0.00,1300.06,0.00,0.00,850.03,0.00,0.00,0.00
8.2216,100.00,24219.34,0.00,400.01,16008.49,2800.26,1800.11,3800.48,18010.82,7501.88,0.00,7101.70,256502.27,300.00,0.00,1250.05,100.00,0.00,975.03,0.00,0.00,0.00
8.5356,0.00,21915.84,0.00,200.00,15708.17,3400.38,1300.06,4800.77,14907.41,9302.90,0.00,7802.05,244705.13,100.00,0.00,1050.04,0.00,0.00,1100.04,0.00,0.00,0.00
8.8496,100.00,23217.78,0.00,300.00,15307.76,3200.34,2000.13,3800.48,17109.76,7001.64,0.00,9402.98,247551.86,400.01,0.00,1050.04,0.00,0.00,800.02,0.00,0.00,200.00
9.1637,0.00,22917.32,0.00,200.00,15507.97,2100.15,1900.12,3850.49,16809.42,8802.59,0.00,7301.80,255484.89,100.00,0.00,1250.05,0.00,0.00,1525.08,0.00,0.00,0.00
9.4777,0.00,20513.88,0.00,200.00,16809.36,1800.11,2000.13,4800.77,16709.31,7701.99,0.00,7702.00,252840.09,400.01,0.00,1150.05,0.00,0.00,850.03,0.00,0.00,0.00
9.7917,0.00,21314.98,0.00,400.01,19312.35,2100.15,1100.04,3650.44,15207.71,10003.35,100.00,9703.18,249687.28,100.00,0.00,1250.05,0.00,0.00,1200.05,0.00,0.00,0.00
10.1057,0.00,23918.86,0.00,300.00,15608.07,3300.36,1600.09,4100.56,17309.99,8702.54,0.00,10603.79,268410.52,300.00,0.00,1250.05,0.00,0.00,700.02,0.00,0.00,0.00
10.4198,100.00,22416.57,0.00,600.01,16609.14,1700.10,1700.10,5000.83,17410.11,8202.25,0.00,6901.61,257417.94,500.01,0.00,1200.05,0.00,0.00,1300.06,0.00,0.00,0.00
10.7338,100.00,21314.98,0.00,400.01,14607.07,1600.09,2100.15,4250.60,16008.55,7201.74,0.00,8302.32,244400.17,300.00,0.00,1350.06,0.00,0.00,1425.07,0.00,0.00,0.00
11.0478,0.00,22416.57,0.00,300.00,16108.59,2600.22,1700.10,4200.59,16809.42,7301.78,0.00,8402.38,254162.43,300.00,0.00,1050.04,0.00,0.00,875.03,0.00,0.00,0.00
11.3618,0.00,23718.55,0.00,300.00,16308.81,3000.30,2100.15,4950.82,17109.76,9603.09,0.00,6801.56,226316.16,100.00,100.00,1300.06,100.00,0.00,1000.04,0.00,0.00,0.00
11.6758,0.00,21515.27,0.00,300.00,16809.36,2500.21,1200.05,5000.83,16709.31,9302.90,0.00,7301.80,264643.63,500.01,100.00,1100.04,0.00,0.00,1025.04,0.00,0.00,0.00
11.9899,0.00,19612.69,0.00,100.00,15808.28,2500.21,2100.15,4000.53,17209.88,11504.43,0.00,7501.90,257214.45,100.00,0.00,1150.05,0.00,0.00,950.03,0.00,0.00,100.00
12.3039,0.00,19312.30,0.00,100.00,15207.66,1700.10,900.03,5250.92,17309.99,9002.71,0.00,7501.90,237387.48,100.00,0.00,1150.05,0.00,0.00,1400.07,0.00,0.00,0.00
12.6179,0.00,23718.55,0.00,100.00,15507.97,1800.11,1800.11,5300.93,15207.71,9202.84,0.00,7401.85,244196.85,400.01,0.00,1100.04,100.00,0.00,1050.04,0.00,0.00,0.00
12.9319,0.00,24319.50,0.00,100.00,14907.36,1900.12,600.01,4800.77,17610.34,7701.99,0.00,8802.61,258944.21,200.00,0.00,1450.07,0.00,0.00,1150.05,0.00,0.00,0.00
13.2460,0.00,23017.47,0.00,300.00,16909.47,1400.07,1900.12,4150.57,16408.98,8402.36,0.00,7401.85,249687.28,100.00,0.00,750.02,100.00,0.00,950.03,0.00,0.00,0.00
13.5600,0.00,21114.70,0.00,400.01,15708.17,1600.09,2300.18,2750.25,14406.92,9603.09,0.00,7301.80,247958.59,100.00,0.00,1500.08,0.00,0.00,1200.05,0.00,0.00,0.00
13.8740,0.00,22616.87,0.00,300.00,17810.51,2400.19,1200.05,4350.63,14807.31,7701.99,0.00,7702.00,261997.22,200.00,100.00,1350.06,0.00,0.00,875.03,0.00,0.00,0.00
14.1880,0.00,21815.70,0.00,100.00,15708.17,2400.19,1900.12,4300.62,16108.65,9503.02,0.00,8702.55,257926.68,0.00,0.00,1000.03,100.00,0.00,1375.07,0.00,0.00,0.00
14.5020,0.00,22616.87,0.00,100.00,15908.38,1700.10,2000.13,4500.67,16108.65,7802.04,0.00,7501.90,239318.16,600.01,200.00,1650.09,0.00,0.00,1200.05,0.00,0.00,0.00
14.8161,0.00,22717.02,0.00,200.00,15307.76,2100.15,1800.11,5250.92,17309.99,7601.93,0.00,6901.61,242773.73,0.00,0.00,1350.06,0.00,0.00,1150.05,0.00,0.00,0.00
15.1301,0.00,21314.98,0.00,100.00,18411.23,1700.10,2100.15,4800.77,17309.99,9002.71,0.00,7501.90,253653.83,300.00,0.00,1300.06,200.00,0.00,825.02,0.00,0.00,100.00
