C:\Agilent\ICPMH\1\DATA\User Batches\Johan\Scapolites\16nov14_Scapolite_comparison.b\16nov14_a08.d
Intensity Vs Time,CPS
Acquired      : 14/11/2016 14:21:28 using Batch 16nov14_Scapolite_comparison.b
Time [Sec],Li7,Na23,Mg24,Al27,Si29,P31,S34,Cl35,K39,Ca44,Ti49,Mn55,Fe56,Fe57,Zn66,Br81,Rb85,Sr88,I127,Cs133,Ba137,Pb208
0.3711,0.00,20814.29,0.00,500.01,17209.81,2400.19,1600.09,4800.77,15808.34,9202.84,0.00,7501.90,249992.36,100.00,100.00,1350.06,0.00,0.00,1000.04,0.00,0.00,0.00
0.6851,0.00,21114.70,0.00,100.00,15608.07,2200.16,1300.06,5100.87,16809.42,9202.84,0.00,8502.44,251009.33,100.00,100.00,1000.03,0.00,0.00,1050.04,0.00,0.00,0.00
0.9992,0.00,22516.72,0.00,500.01,15808.28,2600.22,1400.07,5250.92,18211.06,8802.59,0.00,7201.75,259554.76,100.00,100.00,1650.09,0.00,0.00,900.03,0.00,0.00,0.00
1.3132,0.00,20714.15,0.00,300.00,15207.66,1900.12,2600.22,4550.69,15608.13,8702.54,0.00,7101.70,248873.75,0.00,0.00,750.02,0.00,0.00,1300.06,0.00,0.00,0.00
1.6272,100.00,23117.62,0.00,200.00,13706.22,2100.15,1300.06,4500.67,16308.87,9503.02,0.00,7601.95,250195.75,100.00,0.00,1800.11,100.00,0.00,1250.06,0.00,0.00,0.00
1.9412,0.00,22516.72,0.00,100.00,17810.51,3100.32,1600.09,5350.95,15007.51,9002.71,0.00,7101.70,250399.15,600.01,0.00,1600.09,0.00,0.00,1150.05,0.00,0.00,0.00
2.2552,0.00,19212.17,0.00,300.00,15507.97,2800.26,2100.15,4550.69,17109.76,9503.02,0.00,7301.80,247246.83,200.00,0.00,1100.04,100.00,0.00,1325.06,0.00,0.00,0.00
2.5693,0.00,21915.84,0.00,400.01,16909.47,900.03,1400.07,4800.77,15207.71,8402.36,0.00,8702.55,253755.57,200.00,0.00,1450.07,100.00,0.00,975.03,0.00,0.00,0.00
2.8833,100.00,20213.48,0.00,500.01,15608.07,2800.26,800.02,4200.59,16208.76,8802.59,0.00,4900.81,253755.57,400.01,100.00,1500.08,0.00,0.00,1150.05,0.00,0.00,0.00
3.1973,0.00,22516.72,0.00,0.00,16609.14,2700.24,1400.07,3800.48,18411.30,7401.83,0.00,6801.56,245111.79,200.00,0.00,950.03,0.00,0.00,900.03,0.00,0.00,100.00
