C:\Agilent\ICPMH\1\DATA\User Batches\Johan\Scapolites\16nov14_Scapolite_comparison.b\16nov14_a02.d
Intensity Vs Time,CPS
Acquired      : 14/11/2016 14:00:35 using Batch 16nov14_Scapolite_comparison.b
Time [Sec],Li7,Na23,Mg24,Al27,Si29,P31,S34,Cl35,K39,Ca44,Ti49,Mn55,Fe56,Fe57,Zn66,Br81,Rb85,Sr88,I127,Cs133,Ba137,Pb208
0.3712,0.00,21515.27,0.00,200.00,16709.25,1600.09,1800.11,4300.62,15007.51,9803.22,0.00,6701.52,263829.30,100.00,0.00,1550.08,0.00,0.00,1225.05,0.00,0.00,0.00
0.6852,0.00,22116.13,0.00,300.00,15908.38,2200.16,1700.10,4000.53,15908.44,8002.14,0.00,5100.88,249992.36,200.00,0.00,1300.06,0.00,0.00,1025.04,0.00,0.00,0.00
0.9992,0.00,22516.72,0.00,400.01,15808.28,2700.24,1300.06,4400.64,15508.02,8202.25,0.00,6801.56,259961.82,100.00,0.00,1300.06,100.00,0.00,1350.06,0.00,0.00,100.00
1.3132,0.00,23818.71,0.00,500.01,15207.66,2400.19,1000.03,4300.62,15407.92,8102.20,0.00,6901.61,264032.89,300.00,0.00,1800.11,0.00,0.00,650.01,0.00,0.00,0.00
1.6273,0.00,21715.55,0.00,0.00,15908.38,2400.19,1300.06,3900.51,17109.76,9402.96,0.00,7802.05,256604.00,500.01,0.00,1650.09,0.00,0.00,1250.06,0.00,0.00,100.00
1.9413,0.00,19312.30,0.00,200.00,18511.35,2300.18,2000.13,3950.52,15207.71,7501.88,0.00,7702.00,245518.43,100.00,0.00,1200.05,0.00,0.00,1125.04,0.00,0.00,0.00
2.2553,0.00,22416.57,0.00,400.01,18611.47,2600.22,1800.11,4200.59,15708.23,9803.22,0.00,8002.16,254671.07,300.00,0.00,900.03,0.00,0.00,1100.04,0.00,0.00,0.00
2.5693,0.00,20213.48,0.00,300.00,15908.38,1800.11,1300.06,4850.78,16308.87,9202.84,0.00,8002.16,265152.64,0.00,0.00,1550.08,0.00,0.00,1250.06,0.00,0.00,0.00
2.8834,0.00,25321.14,0.00,500.01,17510.15,2500.21,1800.11,3700.46,16909.54,8102.20,0.00,7401.85,256807.50,400.01,0.00,1500.08,100.00,0.00,1100.04,0.00,0.00,100.00
3.1974,0.00,22116.13,0.00,200.00,18411.23,1700.10,1700.10,4250.60,18811.80,8502.42,0.00,8402.38,245620.09,0.00,0.00,1300.06,0.00,0.00,1125.04,0.00,0.00,0.00
3.5114,100.00,20814.29,0.00,300.00,16008.49,1800.11,1700.10,4550.69,14907.41,10703.84,0.00,7401.85,249077.12,600.01,0.00,1100.04,100.00,0.00,1100.04,0.00,0.00,100.00
3.8254,0.00,23317.93,0.00,0.00,17910.62,2200.16,1300.06,4150.57,16408.98,9202.84,0.00,7101.70,253145.24,100.00,100.00,1150.05,100.00,0.00,1100.04,0.00,0.00,0.00
4.1394,0.00,19612.69,0.00,400.01,18511.35,3000.30,1900.12,4950.82,16208.76,9603.09,0.00,6001.21,263523.93,200.00,0.00,1100.04,0.00,0.00,1175.05,0.00,0.00,0.00
4.4535,0.00,23217.78,0.00,0.00,16208.70,900.03,1900.12,4250.60,15007.51,9402.96,0.00,6101.26,252433.23,200.00,0.00,1150.05,0.00,0.00,1075.04,0.00,0.00,0.00
4.7675,0.00,22516.72,0.00,300.00,16509.03,2000.13,1100.04,4500.67,18811.80,9703.15,0.00,7802.05,265661.62,100.00,0.00,1100.04,0.00,0.00,950.03,0.00,0.00,0.00
5.0815,0.00,20413.74,0.00,200.00,15307.76,1900.12,1300.06,4250.60,17309.99,9002.71,0.00,5701.10,275234.06,300.00,0.00,1350.06,100.00,0.00,1225.05,100.00,0.00,0.00
5.3955,0.00,19712.82,0.00,200.00,16408.92,1500.07,1400.07,4250.60,16509.09,8402.36,100.00,6201.30,253348.68,300.00,0.00,750.02,0.00,0.00,1200.05,0.00,0.00,0.00
5.7095,0.00,20614.01,0.00,200.00,16709.25,2300.18,2400.19,5200.90,20213.63,6401.37,0.00,6701.52,261997.22,100.00,0.00,1050.04,0.00,0.00,1050.04,0.00,0.00,100.00
6.0236,0.00,21515.27,0.00,600.01,17109.70,2600.22,1400.07,4700.74,17610.34,10303.55,0.00,7201.75,262302.54,500.01,0.00,1550.08,0.00,0.00,1225.05,0.00,0.00,0.00
6.3376,0.00,22917.32,0.00,200.00,13806.31,3000.30,1800.11,3850.49,15608.13,8902.65,0.00,5801.14,250094.04,200.00,0.00,1500.08,0.00,0.00,900.03,0.00,0.00,0.00
6.6516,0.00,21715.55,0.00,700.02,14607.07,2100.15,1700.10,4150.57,15708.23,8702.54,100.00,8502.44,266985.11,300.00,0.00,1450.07,0.00,0.00,1150.05,0.00,0.00,100.00
6.9656,0.00,23317.93,0.00,300.00,15207.66,1700.10,1900.12,5050.85,14607.12,6401.37,0.00,8102.21,252331.54,300.00,0.00,1100.04,100.00,0.00,1425.07,0.00,0.00,0.00
7.2797,0.00,20614.01,0.00,300.00,16809.36,1600.09,1200.05,4450.66,18711.68,9603.09,0.00,7401.85,259860.03,200.00,0.00,1500.08,0.00,0.00,1125.04,0.00,0.00,0.00
7.5937,0.00,25120.81,0.00,300.00,18611.47,2700.24,1700.10,4250.60,16809.42,9903.28,0.00,8002.16,239927.93,700.02,0.00,1000.03,0.00,0.00,825.02,0.00,0.00,0.00
7.9077,0.00,21114.70,0.00,500.01,15608.07,2300.18,800.02,4450.66,16809.42,9402.96,0.00,8402.38,263523.93,300.00,100.00,1350.06,0.00,0.00,575.01,0.00,0.00,0.00
8.2217,0.00,18611.42,0.00,200.00,14907.36,2700.24,1300.06,4350.63,17410.11,8502.42,100.00,6901.61,255688.38,500.01,0.00,900.03,0.00,0.00,1450.07,100.00,0.00,0.00
8.5357,0.00,22316.42,0.00,100.00,16909.47,3500.41,1700.10,4250.60,17610.34,8202.25,0.00,7702.00,270243.41,400.01,100.00,1450.07,0.00,0.00,925.03,0.00,0.00,0.00
8.8498,0.00,20614.01,0.00,200.00,18010.74,2300.18,1600.09,3850.49,15307.82,9102.77,0.00,7201.75,252738.38,100.00,100.00,900.03,100.00,0.00,1325.06,0.00,0.00,0.00
9.1638,100.00,21615.41,0.00,200.00,15007.46,2400.19,1600.09,3250.35,17009.65,9102.77,0.00,7101.70,250500.83,500.01,100.00,1250.05,0.00,0.00,1250.06,0.00,0.00,0.00
9.4778,0.00,23317.93,0.00,200.00,15307.76,1500.07,1700.10,3650.44,17209.88,8002.14,0.00,7601.95,253043.53,300.00,0.00,1300.06,0.00,0.00,1200.05,0.00,0.00,0.00
9.7918,100.00,22817.17,0.00,500.01,15608.07,3000.30,2400.19,4200.59,16208.76,9402.96,0.00,7101.70,263320.36,100.00,0.00,1150.05,0.00,0.00,1025.04,0.00,0.00,0.00
10.1059,0.00,20914.43,0.00,100.00,16609.14,2100.15,1800.11,4800.77,16609.20,10603.76,0.00,8602.50,254060.72,0.00,0.00,1100.04,0.00,0.00,850.03,0.00,0.00,0.00
10.4199,0.00,20213.48,0.00,200.00,18611.47,1800.11,1500.07,3900.51,14807.31,10103.42,0.00,7001.65,262506.10,100.00,100.00,1650.09,100.00,0.00,1100.04,0.00,0.00,0.00
10.7339,0.00,20413.74,0.00,200.00,18711.60,2200.16,900.03,4950.82,15908.44,10103.42,0.00,8902.67,254060.72,400.01,0.00,1050.04,0.00,0.00,1150.05,100.00,0.00,0.00
11.0479,100.00,19212.17,0.00,200.00,17209.81,2200.16,1300.06,4000.53,14306.83,10503.69,0.00,7401.85,265763.43,300.00,100.00,1200.05,0.00,0.00,950.03,0.00,0.00,0.00
11.3619,100.00,22015.99,0.00,400.01,17309.92,2100.15,1600.09,4700.74,16008.55,10103.42,0.00,6601.47,251924.68,100.00,100.00,1550.08,0.00,0.00,1275.06,0.00,0.00,0.00
11.6760,0.00,23418.08,0.00,100.00,16008.49,1400.07,1400.07,4200.59,17710.46,9002.71,0.00,7001.65,279513.09,200.00,0.00,1400.07,0.00,0.00,925.03,0.00,0.00,0.00
