C:\Agilent\ICPMH\1\DATA\User Batches\Johan\Scapolites\16nov14_Scapolite_comparison.b\16nov14_a15.d
Intensity Vs Time,CPS
Acquired      : 14/11/2016 14:45:53 using Batch 16nov14_Scapolite_comparison.b
Time [Sec],Li7,Na23,Mg24,Al27,Si29,P31,S34,Cl35,K39,Ca44,Ti49,Mn55,Fe56,Fe57,Zn66,Br81,Rb85,Sr88,I127,Cs133,Ba137,Pb208
0.3711,0.00,21214.84,0.00,300.00,15107.56,1900.12,1600.09,4500.67,19112.18,8202.25,0.00,6801.56,252128.10,0.00,0.00,1150.05,200.00,0.00,1025.04,0.00,0.00,100.00
0.6851,0.00,20814.29,0.00,300.00,15708.17,1800.11,2200.16,5300.93,17009.65,7601.93,0.00,8002.16,256807.50,400.01,0.00,1100.04,0.00,0.00,1350.06,0.00,0.00,0.00
0.9992,0.00,24319.50,0.00,300.00,16208.70,2300.18,1700.10,4650.72,16709.31,6901.59,0.00,6801.56,265865.23,0.00,0.00,950.03,0.00,0.00,1275.06,0.00,0.00,0.00
1.3132,0.00,20013.21,0.00,500.01,14707.16,2700.24,1500.07,4100.56,18110.94,7902.09,0.00,7501.90,252026.39,300.00,0.00,1200.05,100.00,0.00,1050.04,0.00,0.00,0.00
1.6272,0.00,23117.62,0.00,300.00,14807.26,1900.12,1600.09,4750.75,15307.82,8002.14,0.00,8002.16,257214.45,200.00,0.00,1100.04,100.00,0.00,1225.05,0.00,0.00,0.00
1.9412,0.00,20914.43,0.00,200.00,16208.70,1700.10,1500.07,4250.60,16308.87,7301.78,0.00,6001.21,252229.81,200.00,0.00,950.03,0.00,0.00,925.03,100.00,0.00,0.00
2.2553,0.00,19412.43,0.00,300.00,14907.36,2900.28,1100.04,4900.80,18211.06,7501.88,0.00,8002.16,250805.93,400.01,0.00,850.02,100.00,0.00,1050.04,100.00,0.00,0.00
2.5693,0.00,20113.34,0.00,300.00,16008.49,2600.22,1400.07,4850.78,16208.76,8602.48,100.00,9202.86,249890.65,200.00,0.00,1350.06,0.00,0.00,1275.06,0.00,0.00,0.00
2.8833,0.00,22216.28,0.00,300.00,17910.62,2100.15,1500.07,4550.69,16308.87,9002.71,0.00,8502.44,260470.63,100.00,0.00,1500.08,100.00,0.00,1300.06,0.00,0.00,0.00
3.1973,0.00,23217.78,0.00,300.00,15007.46,2700.24,2300.18,4600.70,18611.55,8602.48,0.00,6801.56,244298.51,200.00,100.00,1700.10,0.00,0.00,1375.07,0.00,0.00,0.00
3.5113,100.00,22717.02,0.00,300.00,16108.59,1000.03,1400.07,5651.06,16909.54,8502.42,0.00,7601.95,264643.63,100.00,0.00,1000.03,0.00,0.00,775.02,0.00,0.00,0.00
3.8254,0.00,20814.29,0.00,200.00,15307.76,1900.12,1100.04,4250.60,17209.88,8402.36,0.00,7902.11,258435.42,300.00,0.00,1200.05,0.00,0.00,1225.05,0.00,0.00,0.00
4.1394,0.00,20013.21,0.00,200.00,15608.07,2700.24,2100.15,3950.52,14807.31,6301.33,0.00,6501.43,240029.57,300.00,0.00,1250.05,0.00,0.00,1325.06,0.00,0.00,0.00
4.4534,0.00,25521.48,0.00,300.00,16609.14,1700.10,1000.03,3850.49,17710.46,8002.14,0.00,7301.80,249788.96,300.00,0.00,1350.06,0.00,0.00,1425.07,0.00,0.00,0.00
4.7674,100.00,21114.70,0.00,100.00,13305.87,1900.12,1500.07,3850.49,16609.20,6701.50,0.00,7702.00,269428.78,200.00,100.00,1950.13,100.00,0.00,1025.04,0.00,0.00,0.00
5.0815,0.00,23918.86,0.00,100.00,17510.15,2800.26,1500.07,4350.63,15708.23,7701.99,0.00,9302.92,246433.45,200.00,0.00,1200.05,0.00,0.00,1175.05,0.00,0.00,0.00
5.3955,0.00,22717.02,0.00,200.00,17710.39,1800.11,1300.06,3400.38,16609.20,8002.14,0.00,7401.85,261284.79,0.00,0.00,1400.07,0.00,0.00,1375.07,0.00,0.00,100.00
5.7095,0.00,25120.81,0.00,200.00,15507.97,1800.11,1600.09,4700.74,15407.92,7802.04,0.00,7301.80,261997.22,400.01,0.00,750.02,0.00,0.00,1050.04,0.00,0.00,0.00
6.0235,0.00,22015.99,0.00,400.01,15608.07,2800.26,1500.07,3150.33,16909.54,8002.14,0.00,6001.21,259860.03,300.00,0.00,1600.09,100.00,0.00,1075.04,100.00,0.00,0.00
6.3375,0.00,24619.99,0.00,100.00,16609.14,2500.21,2100.15,4150.57,16709.31,7701.99,0.00,6901.61,248772.07,0.00,0.00,1550.08,0.00,0.00,1175.05,0.00,0.00,0.00
6.6516,0.00,25120.81,0.00,400.01,15507.97,1500.07,1300.06,4750.75,15808.34,8902.65,0.00,6701.52,250805.93,300.00,0.00,1600.09,100.00,0.00,1275.06,0.00,0.00,0.00
6.9656,0.00,19612.69,0.00,100.00,17410.04,2700.24,2100.15,4400.64,16408.98,7802.04,0.00,6801.56,264236.47,200.00,0.00,1250.05,0.00,0.00,1125.04,0.00,0.00,0.00
7.2796,100.00,22616.87,0.00,600.01,17209.81,2800.26,2000.13,5050.85,14807.31,7902.09,0.00,7201.75,269530.59,200.00,0.00,1550.08,0.00,0.00,1225.05,0.00,0.00,0.00
7.5936,0.00,21615.41,0.00,200.00,15608.07,2600.22,1800.11,4250.60,16008.55,8102.20,0.00,6301.34,258435.42,400.01,0.00,800.02,0.00,0.00,1125.04,0.00,0.00,0.00
7.9077,0.00,22316.42,0.00,500.01,15808.28,2200.16,1200.05,4350.63,15908.44,9302.90,0.00,5801.14,245721.78,200.00,0.00,900.03,0.00,0.00,1100.04,0.00,0.00,0.00
8.2217,0.00,21915.84,0.00,200.00,18811.72,2100.15,1800.11,3850.49,17309.99,9202.84,0.00,5901.17,252636.65,100.00,0.00,1150.05,0.00,0.00,1525.08,100.00,100.00,0.00
8.5357,0.00,19112.05,0.00,300.00,13906.41,2100.15,1700.10,3400.38,15508.02,6501.42,0.00,6001.21,249178.81,300.00,0.00,1650.09,100.00,0.00,1050.04,0.00,0.00,0.00
8.8497,0.00,21915.84,0.00,0.00,15708.17,1900.12,2000.13,5050.85,19813.09,8002.14,0.00,7101.70,236777.83,300.00,0.00,1800.11,100.00,0.00,1200.05,0.00,0.00,0.00
9.1637,0.00,24119.18,0.00,300.00,17410.04,2400.19,1200.05,3300.36,16108.65,9803.22,0.00,8102.21,250907.64,500.01,0.00,850.02,0.00,0.00,1050.04,100.00,0.00,0.00
9.4778,100.00,23618.39,0.00,200.00,15307.76,2100.15,1200.05,4800.77,18211.06,9202.84,0.00,7001.65,247145.17,0.00,100.00,1350.06,0.00,0.00,1325.06,0.00,0.00,0.00
9.7918,0.00,20513.88,0.00,600.01,13506.04,1800.11,2200.16,4950.82,17510.22,8602.48,100.00,7101.70,251314.45,400.01,100.00,1300.06,0.00,0.00,1225.05,0.00,0.00,0.00
10.1058,0.00,20614.01,100.00,200.00,15107.56,2200.16,1600.09,4500.67,14306.83,8402.36,0.00,7902.11,258944.21,400.01,0.00,1300.06,0.00,0.00,1000.04,0.00,0.00,0.00
10.4198,0.00,21715.55,0.00,0.00,18511.35,1500.07,1300.06,4300.62,16509.09,8402.36,0.00,5000.84,243281.98,100.00,100.00,1350.06,100.00,0.00,1275.06,100.00,0.00,100.00
10.7339,0.00,22216.28,0.00,200.00,17009.58,2100.15,1600.09,4600.70,17810.58,7802.04,0.00,7501.90,254467.60,300.00,0.00,1950.13,0.00,0.00,1175.05,0.00,0.00,0.00
11.0479,0.00,19913.08,0.00,300.00,14506.97,2700.24,1900.12,4000.53,17309.99,7301.78,0.00,7301.80,248568.70,100.00,0.00,1050.04,100.00,0.00,1375.07,0.00,0.00,0.00
11.3619,0.00,20513.88,0.00,300.00,13906.41,2100.15,1400.07,4550.69,15407.92,8702.54,0.00,7702.00,250094.04,400.01,0.00,1500.08,0.00,0.00,900.03,100.00,0.00,0.00
11.6759,0.00,19913.08,0.00,300.00,15207.66,2200.16,800.02,4000.53,16108.65,9002.71,0.00,7702.00,245213.43,200.00,0.00,1000.03,0.00,0.00,1150.05,0.00,0.00,0.00
11.9899,0.00,21815.70,0.00,100.00,13906.41,2400.19,2000.13,4250.60,15608.13,8302.31,0.00,7401.85,261081.25,0.00,200.00,1400.07,0.00,0.00,1075.04,0.00,0.00,0.00
12.3040,0.00,22817.17,0.00,400.01,17109.70,1800.11,1600.09,4150.57,13906.45,7902.09,0.00,6201.30,244400.17,400.01,0.00,900.03,0.00,0.00,1050.04,0.00,0.00,0.00
12.6180,0.00,22316.42,0.00,200.00,16308.81,3500.41,1500.07,4250.60,16308.87,9603.09,0.00,7301.80,242773.73,200.00,0.00,1450.07,0.00,0.00,1200.05,0.00,0.00,0.00
12.9320,0.00,23518.24,0.00,100.00,16108.59,2900.28,1200.05,5701.08,14306.83,10103.42,0.00,7802.05,246636.79,500.01,0.00,1550.08,0.00,0.00,1050.04,0.00,0.00,0.00
13.2460,0.00,22216.28,0.00,400.01,16008.49,2600.22,2000.13,4700.74,14607.12,8602.48,0.00,6501.43,254365.87,200.00,100.00,900.03,0.00,0.00,1300.06,0.00,0.00,100.00
13.5601,0.00,18010.70,0.00,400.01,14607.07,1900.12,2100.15,4000.53,15007.51,8102.20,0.00,8602.50,258842.46,200.00,0.00,1350.06,0.00,0.00,975.03,0.00,0.00,0.00
13.8741,0.00,23618.39,0.00,200.00,17209.81,2200.16,2100.15,4100.56,18711.68,8702.54,0.00,6601.47,246230.10,100.00,0.00,1750.11,0.00,0.00,875.03,0.00,0.00,0.00
14.1881,100.00,23918.86,0.00,100.00,17910.62,2600.22,1500.07,4150.57,19412.57,9302.90,0.00,6801.56,263829.30,700.02,100.00,1350.06,0.00,0.00,1400.07,0.00,0.00,0.00
14.5021,0.00,22216.28,0.00,600.01,16008.49,3100.32,2100.15,3750.47,16709.31,8402.36,0.00,7201.75,246535.11,200.00,0.00,1350.06,0.00,0.00,1425.07,0.00,0.00,0.00
14.8161,0.00,20213.48,0.00,500.01,15708.17,2400.19,2300.18,3550.42,13706.27,9503.02,0.00,6001.21,261081.25,500.01,0.00,1150.05,0.00,0.00,1150.05,0.00,0.00,0.00
15.1302,0.00,21615.41,0.00,400.01,16509.03,2100.15,2700.24,4900.80,16408.98,8902.65,0.00,8602.50,251924.68,100.00,0.00,1300.06,100.00,0.00,1075.04,0.00,0.00,100.00
15.4442,0.00,20714.15,0.00,300.00,16509.03,2800.26,2300.18,4600.70,15708.23,8002.14,0.00,6301.34,254060.72,200.00,0.00,1500.08,0.00,0.00,1075.04,100.00,0.00,0.00
15.7582,0.00,21615.41,0.00,700.02,16308.81,2200.16,1600.09,4050.55,16609.20,7401.83,0.00,7301.80,262506.10,0.00,0.00,1100.04,0.00,0.00,1000.04,0.00,0.00,0.00
16.0722,0.00,23918.86,0.00,300.00,15908.38,2200.16,1800.11,4150.57,16208.76,8702.54,0.00,7401.85,253653.83,100.00,0.00,1000.03,0.00,0.00,1150.05,0.00,0.00,0.00
16.3862,0.00,21314.98,0.00,200.00,15207.66,1900.12,2100.15,4250.60,17209.88,8802.59,0.00,7001.65,233425.24,100.00,0.00,1550.08,100.00,0.00,1100.04,0.00,0.00,0.00
16.7003,0.00,23818.71,0.00,0.00,16609.14,1800.11,1600.09,4700.74,17410.11,8902.65,0.00,7902.11,247755.22,200.00,100.00,1250.05,0.00,0.00,675.02,0.00,0.00,100.00
17.0143,0.00,21314.98,0.00,400.01,16208.70,2200.16,1300.06,4400.64,16709.31,8402.36,0.00,6701.52,232104.71,400.01,0.00,1400.07,0.00,0.00,1125.04,0.00,0.00,0.00
17.3283,0.00,21214.84,0.00,100.00,16108.59,1600.09,1300.06,4800.77,15708.23,7601.93,0.00,6201.30,263218.58,400.01,0.00,1400.07,0.00,0.00,1075.04,0.00,0.00,0.00
17.6423,0.00,20313.61,0.00,200.00,18711.60,2400.19,2000.13,4100.56,18511.43,10203.49,0.00,8802.61,263015.01,100.00,0.00,1350.06,100.00,0.00,1000.04,0.00,0.00,0.00
17.9564,0.00,22817.17,0.00,100.00,14306.78,1900.12,1800.11,4800.77,18711.68,9302.90,100.00,5801.14,259860.03,0.00,100.00,1400.07,100.00,0.00,1400.07,0.00,0.00,0.00
18.2704,0.00,21615.41,0.00,600.01,16108.59,1800.11,1400.07,4100.56,16008.55,9002.71,0.00,7702.00,257926.68,300.00,0.00,1250.05,100.00,0.00,1500.08,0.00,0.00,0.00
18.5844,0.00,20113.34,0.00,100.00,18411.23,1700.10,2900.28,4650.72,13005.64,9302.90,100.00,9302.92,248772.07,300.00,0.00,1350.06,0.00,0.00,725.02,0.00,0.00,0.00
18.8984,0.00,19913.08,0.00,300.00,12805.43,2200.16,1400.07,5150.88,15808.34,8802.59,0.00,8102.21,245416.77,200.00,0.00,1000.03,100.00,0.00,1125.04,0.00,0.00,100.00
19.2125,0.00,21915.84,0.00,100.00,16308.81,2400.19,1800.11,4150.57,16909.54,6901.59,0.00,7902.11,249890.65,100.00,0.00,1300.06,0.00,0.00,975.03,0.00,0.00,0.00
19.5265,0.00,20914.43,0.00,0.00,15107.56,1600.09,1500.07,4850.78,16008.55,8102.20,0.00,7201.75,254264.16,0.00,0.00,1050.04,0.00,0.00,850.03,0.00,0.00,0.00
