Li;484.6
Be;465.6
B;356.4
Na;102970.0
Mg;465.3
Al;10791.1
Si;327090.7
P;409.0
S;570.0
Cl;470.0
K;465.0
Ca;81833.3
Sc;452.0
Ti;460.0
V;441.7
Cr;405.2
Mn;433.3
Fe;457.1
Co;405.0
Ni;459.0
Cu;430.3
Zn;456.3
Ga;438.1
Ge;426.3
As;317.4
Se;112.0
Br;33.0
Rb;426.0
Sr;516.0
Y;458.0
Zr;437.0
Nb;485.0
Mo;410.0
Rh;1.31
Pd;1.05
Ag;239.4
Cd;259.4
In;441.4
Sn;427.0
Sb;405.0
Te;327.0
Cs;357.2
Ba;454.0
La;440.0
Ce;458.0
Pr;443.0
Nd;436.7
Sm;453.4
Eu;444.0
Gd;455.5
Tb;440.0
Dy;435.7
Ho;440.0
Er;455.5
Tm;423.0
Yb;455.3
Lu;439.7
Hf;421.0
Ta;482.0
W;446.6
Re;50.0
Pt;3.15
Au;22.5
Tl;61.2
Pb;426.0
Bi;357.7
Th;457.0
U;461.5
